cluster	chr	start	end	strand	nr_ctss	dominant_ctss	tpm	tpm_dom_ctss	tss.num	shape.index	nCTSSs	nTSSs
57	chr2L	2042649	2042663	+	2	2042663	2.71025321151637	1.54798541945008	57	1.01477186396575	2	7
58	chr2L	2135492	2135493	+	1	2135493	5.39203933188174	5.39203933188174	58	2	1	14
59	chr2L	2154246	2154247	+	1	2154247	6.54261381066948	6.54261381066948	59	2	1	17
60	chr2L	2155747	2155751	+	2	2155751	48.5379905910237	46.2196122153526	60	1.72542733460227	2	127
61	chr2L	2224082	2224095	+	2	2224095	4.25003805190202	3.08777025983574	61	1.15464906337756	2	11
62	chr2L	2577933	2577934	+	1	2577934	6.15918280477931	6.15918280477931	62	2	1	16
63	chr2L	2580256	2580260	+	2	2580260	6.5578052450933	4.62447495273345	63	1.12601895187264	2	17
64	chr2L	2745747	2745760	+	2	2745760	6.9436934916539	4.24051366787441	64	1.03592123519177	2	18
65	chr2L	2745892	2745896	+	2	2745896	15.0001114009416	9.22445137207965	65	1.03876339527712	2	39
66	chr2L	2745968	2745969	+	1	2745969	5.00831368017223	5.00831368017223	66	2	1	13
67	chr2L	2752792	2752798	+	3	2752798	40.2572600020188	27.5572649373172	67	0.804733682246776	3	105
68	chr2L	2753236	2753237	+	1	2753237	11.5207230274671	11.5207230274671	68	2	1	30
69	chr2L	2753469	2753473	+	2	2753470	5.4027814599407	4.24051366787441	69	1.25040474274052	2	14
70	chr2L	2756079	2756115	+	4	2756080	25.7516547849058	14.197493831883	70	0.372950878220265	5	69
71	chr2L	2756238	2756242	+	2	2756242	11.9346531425512	6.54261381066948	71	1.00676618026029	2	31
72	chr2L	2756282	2756286	+	2	2756283	3.8666605847197	1.93333029235985	72	1	2	10
73	chr2L	2756397	2756437	+	5	2756402	17.3472022163174	6.54261381066948	73	-0.0237554144092158	5	45
74	chr2L	2756927	2756931	+	2	2756931	6.55994656411176	3.47217630427602	74	1.00249745363088	2	17
75	chr2L	2757267	2757268	+	1	2757268	15.3440638979909	15.3440638979909	75	2	1	40
76	chr2L	2757635	2757636	+	1	2757636	9.99009540998002	9.99009540998002	76	2	1	26
77	chr2L	2763430	2763434	+	2	2763431	3.09597083890017	1.54798541945008	77	1	2	8
78	chr2L	2766273	2766294	+	3	2766274	13.858467939211	9.60730269598138	78	0.67562472082433	4	37
79	chr2L	2770137	2770138	+	1	2770138	17.6362391963443	17.6362391963443	79	2	1	46
80	chr2L	2770164	2770165	+	1	2770165	7.30922160650763	7.30922160650763	80	2	1	19
81	chr2L	2770188	2770189	+	1	2770189	5.77566002886195	5.77566002886195	81	2	1	15
82	chr2L	2812076	2812080	+	2	2812080	2.71025321151637	1.54798541945008	82	1.01477186396575	2	7
83	chr2L	2856084	2856101	+	2	2856101	4.25003805190202	3.08777025983574	83	1.15464906337756	2	11
84	chr2L	2856638	2856655	+	2	2856639	17.6814723667243	10.7555138954498	84	1.03436386662939	2	46
85	chr2L	2865285	2865305	+	2	2865305	5.4027814599407	4.24051366787441	85	1.25040474274052	2	14
86	chr2L	2866570	2866590	+	2	2866571	14.9865527637577	12.6681743880866	86	1.38061780532124	2	39
87	chr2L	2879111	2879121	+	2	2879121	41.6726868557435	40.5104190636772	87	1.81818682830438	2	109
88	chr2L	2879162	2879163	+	1	2879163	26.4133467067751	26.4133467067751	88	2	1	69
89	chr2L	2988111	2988112	+	1	2988112	8.4585628685967	8.4585628685967	89	2	1	22
90	chr2L	2996310	2996311	+	1	2996311	12.2857368361036	12.2857368361036	90	2	1	32
91	chr2L	2998230	2998234	+	2	2998234	10.3867191641459	9.22445137207965	91	1.49674166522435	2	27
92	chr2L	3025128	3025129	+	1	3025129	5.39203933188174	5.39203933188174	92	2	1	14
93	chr2L	3030492	3030493	+	1	3030493	5.00831368017223	5.00831368017223	93	2	1	13
94	chr2L	3030536	3030537	+	1	3030537	28.7010007475895	28.7010007475895	94	2	1	75
95	chr2L	3067927	3067931	+	2	3067931	3.86544761584577	2.70317982377949	95	1.11870910076931	2	10
96	chr2L	3160006	3160007	+	1	3160007	8.84153898526358	8.84153898526358	96	2	1	23
97	chr2L	3161438	3161439	+	1	3161439	147.549004205712	147.549004205712	97	2	1	388
98	chr2L	3453643	3453644	+	1	3453644	5.00831368017223	5.00831368017223	98	2	1	13
99	chr2L	3473645	3473649	+	2	3473649	4.25116524322957	2.70317982377949	99	1.05433969539936	2	11
100	chr2L	3478429	3478430	+	1	3478430	5.77566002886195	5.77566002886195	100	2	1	15
101	chr2L	3547809	3547827	+	2	3547810	7.71224521256919	4.62447495273345	101	1.02904940554533	2	20
102	chr2L	3725462	3725463	+	1	3725463	6.54261381066948	6.54261381066948	102	2	1	17
103	chr2L	3784005	3784009	+	2	3784009	2.71025321151637	1.54798541945008	103	1.01477186396575	2	7
104	chr2L	3784079	3784080	+	1	3784080	6.92595847127459	6.92595847127459	104	2	1	18
105	chr2L	4114324	4114325	+	1	4114325	20.6907126331071	20.6907126331071	105	2	1	54
106	chr2L	4114994	4114995	+	1	4114995	8.4585628685967	8.4585628685967	106	2	1	22
107	chr2L	4115453	4115454	+	1	4115454	5.00831368017223	5.00831368017223	107	2	1	13
108	chr2L	4228353	4228361	+	2	4228361	6.55994656411176	3.47217630427602	108	1.00249745363088	2	17
109	chr2L	4228393	4228406	+	3	4228394	6.95488849181043	2.70317982377949	109	0.428458328178075	3	18
110	chr2L	4342878	4342893	+	2	4342879	2.32453558413257	1.16226779206629	110	1	2	6
111	chr2L	4379596	4379616	+	2	4379597	2.71025321151637	1.54798541945008	111	1.01477186396575	2	7
112	chr2L	4812998	4813010	+	2	4813010	6.17058147223852	5.00831368017223	112	1.30378773987485	2	16
113	chr2L	4892187	4892191	+	2	4892191	3.86636379512118	2.3183783756711	113	1.02904940554533	2	10
114	chr2L	4903800	4903801	+	1	4903801	5.00831368017223	5.00831368017223	114	2	1	13
115	chr2L	4945573	4945593	+	3	4945593	13.1035328358335	5.39203933188174	115	0.248413045753351	4	36
116	chr2L	4973972	4974005	+	3	4973991	12.711275791254	8.07552011196818	116	0.720413937561364	3	33
117	chr2L	5011079	5011086	+	2	5011086	119.204938573002	114.19662489283	117	1.75072020573383	2	313
118	chr2L	5011116	5011117	+	1	5011117	28.3197752817744	28.3197752817744	118	2	1	74
119	chr2L	5011924	5011935	+	2	5011925	3.8666605847197	1.93333029235985	119	1	2	10
120	chr2L	5034354	5034363	+	2	5034363	4.63651011613933	2.70317982377949	120	1.02013124334885	2	12
121	chr2L	5034480	5034481	+	1	5034481	6.92595847127459	6.92595847127459	121	2	1	18
122	chr2L	5034686	5034687	+	1	5034687	10.7555138954498	10.7555138954498	122	2	1	28
123	chr2L	5036641	5036660	+	2	5036642	10.3867191641459	9.22445137207965	123	1.10043236761281	4	29
124	chr2L	5036683	5036690	+	3	5036687	49.0325178311703	27.5572649373172	124	0.848886448806119	3	128
125	chr2L	5036710	5036711	+	1	5036711	8.84153898526358	8.84153898526358	125	2	1	23
126	chr2L	5036766	5036777	+	3	5036772	75.7214324481959	51.5457369589696	126	0.84565178684264	3	198
127	chr2L	5038712	5038716	+	2	5038713	2.32453558413257	1.16226779206629	127	1	2	6
128	chr2L	5043266	5043267	+	1	5043267	20.6907126331071	20.6907126331071	128	2	1	54
129	chr2L	5046300	5046321	+	2	5046301	11.5428297477508	9.22445137207965	129	1.27807190511264	2	30
130	chr2L	5048089	5048093	+	2	5048093	5.40614863550683	3.08777025983574	130	1.01477186396575	2	14
131	chr2L	5052858	5052859	+	1	5052859	9.22445137207965	9.22445137207965	131	2	1	24
132	chr2L	5055892	5055896	+	2	5055893	2.71025321151637	1.54798541945008	132	1.01477186396575	2	7
133	chr2L	5071234	5071239	+	2	5071239	7.32364544831204	5.77566002886195	133	1.25751243045788	2	19
134	chr2L	5094052	5094065	+	2	5094053	3.48064616773738	2.3183783756711	134	1.08170416594551	2	9
135	chr2L	5163122	5163123	+	1	5163123	6.92595847127459	6.92595847127459	135	2	1	18
136	chr2L	5201724	5201725	+	1	5201725	7.30922160650763	7.30922160650763	136	2	1	19
137	chr2L	5201970	5201980	+	2	5201980	9.24433684694569	6.92595847127459	137	1.18872187554087	2	24
138	chr2L	5242706	5242725	+	2	5242707	10.0038067773299	8.84153898526358	138	1.48405306999255	2	26
139	chr2L	5243098	5243117	+	2	5243117	2.71025321151637	1.54798541945008	139	0.469506943242517	3	9
140	chr2L	5280631	5280648	+	2	5280648	4.25003805190202	3.08777025983574	140	1.15464906337756	2	11
141	chr2L	5309094	5309095	+	1	5309095	7.30922160650763	7.30922160650763	141	2	1	19
142	chr2L	5327781	5327801	+	2	5327801	66.8462225524641	58.7707024404959	142	1.47063913471264	2	175
143	chr2L	5327857	5327858	+	1	5327858	5.39203933188174	5.39203933188174	143	2	1	14
144	chr2L	5415819	5415820	+	1	5415820	9.60730269598138	9.60730269598138	144	2	1	25
145	chr2L	5520295	5520302	+	3	5520299	18.4364327412036	15.7261795296873	145	1.25700665951853	3	48
146	chr2L	5526945	5526946	+	1	5526946	10.7555138954498	10.7555138954498	146	2	1	28
147	chr2L	5542555	5542561	+	2	5542561	66.4002011505606	64.8522157311105	147	1.84209362566512	2	174
148	chr2L	5543300	5543319	+	2	5543301	2.71025321151637	1.54798541945008	148	1.01477186396575	2	7
149	chr2L	5543576	5543580	+	2	5543580	4.25116524322957	2.70317982377949	149	1.05433969539936	2	11
150	chr2L	5543621	5543625	+	2	5543622	3.09559808442614	1.93333029235985	150	1.04556599707504	2	8
151	chr2L	5544031	5544032	+	1	5544032	5.00831368017223	5.00831368017223	151	2	1	13
152	chr2L	5544147	5544163	+	2	5544163	7.32669205584333	5.00831368017223	152	0.858846472120694	3	20
153	chr2L	5544227	5544241	+	2	5544228	3.8666605847197	1.93333029235985	153	0.651412103987578	3	11
154	chr2L	5544264	5544280	+	2	5544280	5.40440402919964	3.85641860974955	154	0.841061467649723	3	15
155	chr2L	5544375	5544394	+	3	5544379	5.79999087707955	1.93333029235985	155	0.415037499278844	3	15
156	chr2L	5544648	5544667	+	2	5544649	3.86544761584577	2.70317982377949	156	1.11870910076931	2	10
157	chr2L	5544702	5544706	+	2	5544706	11.5463331284324	8.4585628685967	157	1.16335925805883	2	30
158	chr2L	5545457	5545476	+	3	5545461	9.63821189509562	6.54261381066948	158	0.498867915534904	4	27
159	chr2L	5546036	5546037	+	1	5546037	7.69240752725689	7.69240752725689	159	2	1	20
160	chr2L	5546069	5546070	+	1	5546070	56.8697448047998	56.8697448047998	160	2	1	149
161	chr2L	5552005	5552006	+	1	5552006	5.77566002886195	5.77566002886195	161	2	1	15
162	chr2L	5983121	5983136	+	2	5983136	2.71025321151637	1.54798541945008	162	1.01477186396575	2	7
163	chr2L	5983171	5983179	+	3	5983172	16.1683516302862	7.69240752725689	163	0.596612831350759	3	42
164	chr2L	5984123	5984144	+	2	5984124	31.7736960658344	30.2257106463844	164	1.7213301964361	2	83
165	chr2L	5984173	5984183	+	2	5984174	5.4027814599407	4.24051366787441	165	1.25040474274052	2	14
166	chr2L	5984206	5984207	+	1	5984207	8.84153898526358	8.84153898526358	166	2	1	23
167	chr2L	5984272	5984301	+	4	5984273	52.9462603033544	20.3090038342817	167	0.148091029491257	4	138
168	chr2L	5984338	5984361	+	3	5984361	37.1956655792427	23.3619433236889	168	0.861684864940048	3	97
169	chr2L	5984784	5984788	+	2	5984788	3.86544761584577	2.70317982377949	169	1.11870910076931	2	10
170	chr2L	5984880	5984898	+	3	5984881	93.5365726034133	73.9704343084683	170	1.17947947901029	3	245
171	chr2L	5985110	5985127	+	2	5985111	64.6428921059021	34.4171814595178	171	1.00305818369215	2	169
172	chr2L	5985423	5985436	+	5	5985433	18.8722125320715	10.7555138954498	172	0.193047426673567	5	49
173	chr2L	5985504	5985532	+	3	5985519	40.6201867821044	28.3197752817744	173	0.980908653148172	3	106
174	chr2L	6050834	6050854	+	2	6050835	8.47148939857392	7.30922160650763	174	1.05943376001183	3	24
175	chr2L	6051922	6051923	+	1	6051923	12.2857368361036	12.2857368361036	175	2	1	32
176	chr2L	6052268	6052269	+	1	6052269	5.00831368017223	5.00831368017223	176	2	1	13
177	chr2L	6052408	6052409	+	1	6052409	20.6907126331071	20.6907126331071	177	2	1	54
178	chr2L	6052588	6052593	+	2	6052589	2.32453558413257	1.16226779206629	178	1	2	6
179	chr2L	6052852	6052856	+	2	6052856	2.71025321151637	1.54798541945008	179	1.01477186396575	2	7
180	chr2L	6053788	6053789	+	1	6053789	14.197493831883	14.197493831883	180	2	1	37
181	chr2L	6123605	6123606	+	1	6123606	5.00831368017223	5.00831368017223	181	2	1	13
182	chr2L	6327878	6327882	+	2	6327882	2.71025321151637	1.54798541945008	182	1.01477186396575	2	7
183	chr2L	6342214	6342221	+	2	6342215	3.09597083890017	1.54798541945008	183	1	2	8
184	chr2L	6342277	6342278	+	1	6342278	5.00831368017223	5.00831368017223	184	2	1	13
185	chr2L	6342307	6342312	+	2	6342308	2.32453558413257	1.16226779206629	185	1	2	6
186	chr2L	6346090	6346091	+	1	6346091	11.90325354315	11.90325354315	186	2	1	31
187	chr2L	6374230	6374240	+	2	6374240	5.01868640181584	3.85641860974955	187	1.22065016270791	2	13
188	chr2L	6375802	6375806	+	2	6375806	9.62350553141827	8.07552011196818	188	1.36569044535943	2	25
189	chr2L	6377162	6377180	+	2	6377163	3.86544761584577	2.70317982377949	189	1.11870910076931	2	10
190	chr2L	6557777	6557781	+	2	6557781	83.6731107377013	53.447400091317	190	1.05671203390698	2	219
191	chr2L	6559034	6559035	+	1	6559035	32.5122259504278	32.5122259504278	191	2	1	85
192	chr2L	6562333	6562334	+	1	6562334	89.9171990407362	89.9171990407362	192	2	1	236
193	chr2L	6653465	6653469	+	2	6653469	8.47756118045041	6.15918280477931	193	1.15464906337756	2	22
194	chr2L	6653740	6653745	+	2	6653745	5.4027814599407	4.24051366787441	194	1.25040474274052	2	14
195	chr2L	6654519	6654520	+	1	6654520	44.3168665176893	44.3168665176893	195	2	1	116
196	chr2L	6718046	6718050	+	2	6718047	5.02110055219558	3.08777025983574	196	1.03876339527712	2	13
197	chr2L	6728747	6728751	+	2	6728748	2.32453558413257	1.16226779206629	197	1	2	6
198	chr2L	6857918	6857922	+	2	6857919	3.86544761584577	2.70317982377949	198	1.11870910076931	2	10
199	chr2L	6911058	6911060	+	2	6911059	3.48064616773738	2.3183783756711	199	1.08170416594551	2	9
200	chr2L	6925496	6925504	+	2	6925504	5.40550659663587	3.47217630427602	200	0.633685342963601	3	16
201	chr2L	6925723	6925727	+	2	6925724	14.2128353829112	13.0505675908449	201	1.59402296152443	2	37
202	chr2L	6926655	6926665	+	4	6926665	8.88560933957188	3.47217630427602	202	0.125816173053748	4	23
203	chr2L	6926778	6926779	+	1	6926779	5.77566002886195	5.77566002886195	203	2	1	15
204	chr2L	6926903	6926904	+	1	6926904	12.2857368361036	12.2857368361036	204	2	1	32
205	chr2L	6927007	6927031	+	3	6927031	8.10932845928632	3.08777025983574	205	0.424885408589343	3	21
206	chr2L	6927137	6927165	+	6	6927165	108.546223336088	65.6122464650799	206	0.54949632799362	6	284
207	chr2L	6927318	6927336	+	2	6927336	17.2802900825763	14.9619117069052	207	1.43349049344709	2	45
208	chr2L	6927564	6927565	+	1	6927565	5.39203933188174	5.39203933188174	208	2	1	14
209	chr2L	6927691	6927692	+	1	6927692	5.39203933188174	5.39203933188174	209	2	1	14
210	chr2L	6930992	6930993	+	1	6930993	9.60730269598138	9.60730269598138	210	2	1	25
211	chr2L	6931097	6931098	+	1	6931098	15.3440638979909	15.3440638979909	211	2	1	40
212	chr2L	6957034	6957035	+	1	6957035	6.54261381066948	6.54261381066948	212	2	1	17
213	chr2L	6957878	6957888	+	2	6957879	2.32453558413257	1.16226779206629	213	1	2	6
214	chr2L	7033926	7033943	+	2	7033943	2.71025321151637	1.54798541945008	214	1.01477186396575	2	7
215	chr2L	7061184	7061195	+	2	7061185	2.32453558413257	1.16226779206629	215	0.551184364274815	3	7
216	chr2L	7402898	7402902	+	2	7402899	5.40614863550683	3.08777025983574	216	1.01477186396575	2	14
217	chr2L	7404307	7404308	+	1	7404308	31.3690483401686	31.3690483401686	217	2	1	82
218	chr2L	7405209	7405228	+	3	7405228	39.8636046741497	29.082206763366	218	0.915737577917768	3	104
219	chr2L	7405256	7405257	+	1	7405257	10.7555138954498	10.7555138954498	219	2	1	28
220	chr2L	7408363	7408364	+	1	7408364	5.39203933188174	5.39203933188174	220	2	1	14
221	chr2L	7427322	7427327	+	2	7427323	2.32453558413257	1.16226779206629	221	1	2	6
222	chr2L	7440843	7440850	+	2	7440844	4.63444409634231	3.47217630427602	222	1.18872187554087	2	12
223	chr2L	7816428	7816429	+	1	7816429	11.5207230274671	11.5207230274671	223	2	1	30
224	chr2L	7818128	7818144	+	2	7818144	2.71025321151637	1.54798541945008	224	0.594360937770434	3	8
225	chr2L	7818233	7818249	+	2	7818249	6.17535612805551	3.47217630427602	225	1.0113005917115	2	16
226	chr2L	7818372	7818386	+	2	7818386	7.71149350395172	5.00831368017223	226	1.06593194462451	2	20
227	chr2L	7818550	7818551	+	1	7818551	16.490304653159	16.490304653159	227	2	1	43
228	chr2L	7827805	7827806	+	1	7827806	20.3090038342817	20.3090038342817	228	2	1	53
229	chr2L	7832589	7832599	+	4	7832596	11.1912805472652	4.24051366787441	229	0.206239112189118	4	29
230	chr2L	7832640	7832641	+	1	7832641	22.5988605119568	22.5988605119568	230	2	1	59
231	chr2L	8036066	8036070	+	2	8036070	5.78674274479974	4.62447495273345	231	1.27807190511264	2	15
232	chr2L	8037124	8037125	+	1	8037125	8.84153898526358	8.84153898526358	232	2	1	23
233	chr2L	8037195	8037196	+	1	8037196	7.30922160650763	7.30922160650763	233	2	1	19
234	chr2L	8038285	8038336	+	7	8038303	44.9878413090907	14.5797220151729	234	-0.490357821760902	8	118
235	chr2L	8040204	8040222	+	2	8040222	16.5339465125205	8.84153898526358	235	1.00351401011322	2	43
236	chr2L	8083481	8083482	+	1	8083482	17.6362391963443	17.6362391963443	236	2	1	46
237	chr2L	8084676	8084697	+	3	8084697	5.41434921457127	2.3183783756711	237	0.443343292537177	3	14
238	chr2L	8089297	8089301	+	2	8089298	2.32453558413257	1.16226779206629	238	1	2	6
239	chr2L	8107878	8107879	+	1	8107879	6.54261381066948	6.54261381066948	239	2	1	17
240	chr2L	8114577	8114578	+	1	8114578	11.90325354315	11.90325354315	240	2	1	31
241	chr2L	8184160	8184164	+	2	8184164	22.9979464868181	21.8356786947518	241	1.71360304288404	2	60
242	chr2L	8184196	8184217	+	2	8184197	2.32453558413257	1.16226779206629	242	1	2	6
243	chr2L	8187498	8187499	+	1	8187499	5.39203933188174	5.39203933188174	243	2	1	14
244	chr2L	8213121	8213122	+	1	8213122	5.39203933188174	5.39203933188174	244	2	1	14
245	chr2L	8329644	8329651	+	3	8329648	5.02771540791206	2.70317982377949	245	0.542734086376613	3	13
246	chr2L	8365574	8365592	+	2	8365575	3.48064616773738	2.3183783756711	246	1.08170416594551	2	9
247	chr2L	8366241	8366245	+	2	8366242	2.32453558413257	1.16226779206629	247	1	2	6
248	chr2L	8366290	8366300	+	2	8366300	73.2548187787236	70.5516389549441	248	1.72856397128073	3	193
249	chr2L	8367472	8367476	+	2	8367473	5.78674274479974	4.62447495273345	249	1.27807190511264	2	15
250	chr2L	8367629	8367641	+	3	8367641	15.3972891299927	7.69240752725689	250	0.6950798476418	3	40
251	chr2L	8367959	8367972	+	2	8367972	6.55889204354551	4.24051366787441	251	1.06333261812244	2	17
252	chr2L	8368102	8368113	+	2	8368113	5.40550659663587	3.47217630427602	252	1.05971404132937	2	14
253	chr2L	8368595	8368615	+	2	8368596	3.86544761584577	2.70317982377949	253	1.11870910076931	2	10
254	chr2L	8369916	8369917	+	1	8369917	34.0362234949662	34.0362234949662	254	2	1	89
255	chr2L	8404101	8404102	+	1	8404102	5.39203933188174	5.39203933188174	255	2	1	14
256	chr2L	8404196	8404202	+	2	8404197	3.48064616773738	2.3183783756711	256	1.08170416594551	2	9
257	chr2L	8404398	8404399	+	1	8404399	37.8450949333732	37.8450949333732	257	2	1	99
258	chr2L	8415758	8415759	+	1	8415759	163.07782765387	163.07782765387	258	2	1	429
259	chr2L	8426877	8426902	+	5	8426899	27.6579516940425	19.927267474403	259	0.627886322890892	5	72
260	chr2L	8426924	8426925	+	1	8426925	15.3440638979909	15.3440638979909	260	2	1	40
261	chr2L	8426987	8426988	+	1	8426988	7.30922160650763	7.30922160650763	261	2	1	19
262	chr2L	8427873	8427893	+	2	8427874	2.32453558413257	1.16226779206629	262	1	2	6
263	chr2L	8428860	8428864	+	2	8428864	3.09559808442614	1.93333029235985	263	1.04556599707504	2	8
264	chr2L	8428898	8428899	+	1	8428899	5.00831368017223	5.00831368017223	264	2	1	13
265	chr2L	8429127	8429131	+	2	8429128	2.71025321151637	1.54798541945008	265	1.01477186396575	2	7
266	chr2L	8430298	8430338	+	7	8430321	30.8161907865187	9.99009540998002	266	-0.633461596643403	8	81
267	chr2L	8515092	8515113	+	2	8515093	3.86636379512118	2.3183783756711	267	1.02904940554533	2	10
268	chr2L	8522123	8522128	+	2	8522128	9.24695306461505	6.15918280477931	268	1.08170416594551	2	24
269	chr2L	8523601	8523602	+	1	8523602	13.8152261124373	13.8152261124373	269	2	1	36
270	chr2L	8524545	8524546	+	1	8524546	5.39203933188174	5.39203933188174	270	2	1	14
271	chr2L	8825906	8825907	+	1	8825907	5.00831368017223	5.00831368017223	271	2	1	13
272	chr2L	8934846	8934850	+	2	8934847	68.4465027446941	42.033156037919	272	1.03818285963745	2	179
273	chr2L	8939714	8939715	+	1	8939715	5.00831368017223	5.00831368017223	273	2	1	13
274	chr2L	8998598	8998605	+	3	8998602	1899.46333353122	1837.87868621303	274	1.76335481567603	4	5042
275	chr2L	9035668	9035669	+	1	9035669	5.00831368017223	5.00831368017223	275	2	1	13
276	chr2L	9387822	9387826	+	2	9387823	7.70488160273577	6.54261381066948	276	1.3901596952836	2	20
277	chr2L	9516205	9516206	+	1	9516206	27.1759795089073	27.1759795089073	277	2	1	71
278	chr2L	9516954	9516973	+	2	9516973	3.09559808442614	1.93333029235985	278	1.04556599707504	2	8
