chr	pos	strand	fly
chr2L	125112	-	2
chr2L	125114	-	1
chr2L	125144	-	1
chr2L	125173	-	1
chr2L	125184	-	3
chr2L	125188	-	2
chr2L	125249	-	5
chr2L	125258	-	1
chr2L	125261	-	2
chr2L	126158	-	3
chr2L	127648	-	1
chr2L	128860	-	3
chr2L	128894	-	3
chr2L	128929	-	4
chr2L	128935	-	2
chr2L	128948	-	4
chr2L	129030	-	7
chr2L	129031	-	2
chr2L	129077	-	1
chr2L	129086	-	10
chr2L	129087	-	1
chr2L	129089	-	1
chr2L	132042	+	1
chr2L	132079	+	6
chr2L	132116	+	20
chr2L	132127	+	3
chr2L	132184	+	2
chr2L	132201	+	11
chr2L	132519	+	2
chr2L	132602	+	1
chr2L	132784	-	1
chr2L	132949	+	2
chr2L	132972	+	1
chr2L	132993	+	1
chr2L	133216	+	7
chr2L	133266	+	1
chr2L	133336	+	4
chr2L	133673	+	1
chr2L	133696	+	3
chr2L	134132	+	5
chr2L	134239	+	55
chr2L	134326	-	1
chr2L	134391	+	1
chr2L	136960	+	2
chr2L	138176	-	1
chr2L	139590	-	1
chr2L	140102	-	1
chr2L	141945	+	1
chr2L	142728	-	2
chr2L	142750	-	2
chr2L	144236	-	2
chr2L	144323	+	1
chr2L	144349	-	1
chr2L	144350	-	3
chr2L	147483	-	1
chr2L	154232	+	1
chr2L	154482	+	1
chr2L	155418	+	5
chr2L	155436	+	2
chr2L	155543	+	5
chr2L	155882	+	1
chr2L	156133	+	1
chr2L	156173	+	92
chr2L	156181	+	28
chr2L	156187	+	4
chr2L	156474	+	2
chr2L	156758	+	2
chr2L	156788	+	4
chr2L	156929	+	1
chr2L	156974	+	1
chr2L	157054	+	1
chr2L	157091	+	2
chr2L	157106	+	1
chr2L	157149	+	1
chr2L	157302	+	1
chr2L	157469	+	2
chr2L	157502	+	3
chr2L	159083	+	1
chr2L	159232	+	5
chr2L	159298	+	2
chr2L	159309	+	3
chr2L	159339	+	8
chr2L	159551	+	12
chr2L	159617	+	2
chr2L	159769	+	3
chr2L	160006	+	1
chr2L	160013	+	2
chr2L	160284	+	11
chr2L	160369	+	4
chr2L	160433	+	5
chr2L	160486	+	18
chr2L	160504	+	3
chr2L	160524	+	1
chr2L	160559	+	1
chr2L	160562	+	2
chr2L	160577	+	4
chr2L	160604	+	2
chr2L	160635	+	2
chr2L	160692	+	1
chr2L	160698	+	3
chr2L	160901	+	2
chr2L	160904	+	3
chr2L	160941	+	1
chr2L	160976	+	8
chr2L	161141	+	3
chr2L	161202	+	3
chr2L	161314	+	4
chr2L	161488	+	1
chr2L	161555	+	2
chr2L	161609	+	2
chr2L	161668	+	4
chr2L	161829	+	2
chr2L	161894	+	1
chr2L	162003	+	2
chr2L	162044	+	2
chr2L	162304	+	5
chr2L	162305	+	1
chr2L	162533	+	3
chr2L	162736	+	1
chr2L	162942	+	3
chr2L	163946	+	1
chr2L	164203	+	1
chr2L	165271	+	1
chr2L	166497	+	2
chr2L	166508	+	1
chr2L	166570	+	2
chr2L	166573	+	1
chr2L	166777	+	1
chr2L	166780	+	2
chr2L	167373	+	1
chr2L	167599	+	1
chr2L	167616	+	1
chr2L	168004	+	3
chr2L	168656	+	3
chr2L	169450	+	5
chr2L	169528	+	1
chr2L	171812	+	1
chr2L	171815	+	3
chr2L	172241	-	1
chr2L	180434	+	3
chr2L	181166	+	1
chr2L	181960	+	1
chr2L	183818	+	2
chr2L	187640	-	1
chr2L	187751	+	1
chr2L	187897	+	4
chr2L	188167	+	1
chr2L	188173	+	2
chr2L	188196	+	1
chr2L	188199	+	5
chr2L	188221	+	6
chr2L	188242	+	1
chr2L	188379	+	1
chr2L	188394	+	1
chr2L	188397	+	1
chr2L	188406	+	4
chr2L	188455	+	4
chr2L	188486	+	2
chr2L	188585	+	7
chr2L	188640	+	2
chr2L	188720	+	2
chr2L	188740	+	1
chr2L	188757	+	7
chr2L	188844	+	2
chr2L	188879	+	1
chr2L	188969	+	1
chr2L	189045	-	1
chr2L	189095	+	1
chr2L	189146	+	1
chr2L	189172	+	1
chr2L	189211	+	2
chr2L	189223	+	2
chr2L	189385	+	2
chr2L	189417	+	3
chr2L	190014	+	3
chr2L	190038	+	8
chr2L	190041	+	12
chr2L	190075	+	1
chr2L	190164	+	3
chr2L	190167	+	1
chr2L	190257	+	3
chr2L	190541	-	1
chr2L	190682	-	1
chr2L	190808	+	8
chr2L	190923	+	2
chr2L	191009	+	1
chr2L	191019	+	1
chr2L	191025	+	1
chr2L	191052	+	1
chr2L	191061	+	2
chr2L	191100	+	1
chr2L	191109	+	1
chr2L	191190	+	2
chr2L	191225	-	1
chr2L	191300	+	1
chr2L	191388	-	1
chr2L	191457	-	2
chr2L	191857	+	6
chr2L	191982	+	1
chr2L	193824	-	1
chr2L	194040	+	1
chr2L	194191	+	1
chr2L	194227	-	2
chr2L	194393	+	1
chr2L	194751	+	1
chr2L	195054	-	1
chr2L	195894	+	7
chr2L	196384	+	2
chr2L	197622	+	2
chr2L	197623	+	1
chr2L	197625	+	1
chr2L	197726	+	1
chr2L	197834	+	1
chr2L	197998	+	1
chr2L	198085	+	1
chr2L	198127	+	2
chr2L	198187	+	12
chr2L	198190	+	2
chr2L	198212	+	1
chr2L	198256	+	1
chr2L	198305	+	2
chr2L	198343	+	3
chr2L	198492	+	1
chr2L	198728	-	1
chr2L	198786	-	1
chr2L	198936	+	3
chr2L	199374	+	2
chr2L	199413	+	1
chr2L	200215	+	2
chr2L	200316	-	1
chr2L	200445	+	1
chr2L	200591	+	2
chr2L	200630	+	7
chr2L	200633	+	5
chr2L	200736	+	3
chr2L	200742	-	1
chr2L	200747	+	1
chr2L	200750	+	1
chr2L	200753	+	1
chr2L	200778	+	18
chr2L	200808	+	1
chr2L	200811	+	3
chr2L	200814	+	3
chr2L	200829	+	1
chr2L	200855	+	1
chr2L	200879	+	9
chr2L	200955	+	3
chr2L	201249	+	1
chr2L	201371	+	2
chr2L	201631	+	2
chr2L	201678	+	3
chr2L	202097	+	3
chr2L	202712	+	2
chr2L	203791	+	15
chr2L	203819	+	2
chr2L	204361	+	1
chr2L	204608	+	3
chr2L	204640	+	2
chr2L	205245	+	1
chr2L	208205	+	1
chr2L	209802	+	1
chr2L	210640	-	1
chr2L	210792	-	1
chr2L	210813	-	1
chr2L	210857	-	1
chr2L	211015	-	6
chr2L	211016	-	1
chr2L	211017	-	4
chr2L	211052	-	1
chr2L	211151	-	12
chr2L	211435	-	2
chr2L	211522	-	7
chr2L	211822	-	2
chr2L	211826	-	9
chr2L	211831	-	9
chr2L	211849	-	1
chr2L	212036	-	1
chr2L	212037	-	2
chr2L	212057	-	3
chr2L	212058	-	5
chr2L	212060	-	3
chr2L	212070	-	1
chr2L	212076	-	4
chr2L	212111	-	1
chr2L	212156	-	6
chr2L	212158	-	3
chr2L	212163	-	2
chr2L	212166	-	2
chr2L	212242	-	17
chr2L	212243	-	1
chr2L	212252	-	3
chr2L	212253	-	3
chr2L	212286	-	5
chr2L	212353	-	5
chr2L	212384	-	2
chr2L	212390	-	19
chr2L	212391	-	1
chr2L	212397	-	1
chr2L	212443	-	1
chr2L	212445	-	2
chr2L	212480	-	3
chr2L	212482	-	2
chr2L	212493	-	2
chr2L	212497	-	4
chr2L	212552	-	1
chr2L	212580	-	3
chr2L	212588	-	1
chr2L	212638	-	1
chr2L	212641	-	1
chr2L	212643	-	1
chr2L	212652	-	3
chr2L	212661	-	4
chr2L	212665	-	1
chr2L	212708	-	1
chr2L	212709	-	5
chr2L	212793	-	12
chr2L	212796	-	8
chr2L	212801	-	1
chr2L	212815	-	3
chr2L	212817	-	1
chr2L	212829	-	2
chr2L	212839	-	2
chr2L	212867	-	3
chr2L	212874	-	17
chr2L	212876	-	8
chr2L	212877	-	10
chr2L	212903	-	10
chr2L	212904	-	4
chr2L	212950	-	6
chr2L	212969	-	1
chr2L	212970	-	1
chr2L	212971	-	2
chr2L	212974	-	1
chr2L	212975	-	2
chr2L	212996	-	1
chr2L	213019	-	7
chr2L	213023	-	1
chr2L	213026	-	1
chr2L	213029	-	1
chr2L	213132	-	1
chr2L	213285	-	1
chr2L	213287	-	8
chr2L	213368	-	1
chr2L	213370	-	1
chr2L	213373	-	1
chr2L	213374	-	3
chr2L	213375	-	1
chr2L	213376	-	1
chr2L	213379	-	1
chr2L	213441	-	1
chr2L	213477	-	1
chr2L	213488	-	2
chr2L	213525	-	10
chr2L	213580	-	1
chr2L	213679	-	2
chr2L	213721	-	2
chr2L	214113	-	2
chr2L	214160	+	1
chr2L	214222	-	1
chr2L	214452	-	1
chr2L	214540	+	1
chr2L	214566	-	2
chr2L	214637	-	3
chr2L	214656	+	1
chr2L	214715	-	1
chr2L	214716	-	1
chr2L	214902	-	1
chr2L	214966	+	3
chr2L	215178	-	1
chr2L	215459	+	1
chr2L	216904	-	4
chr2L	216984	-	1
chr2L	217007	-	1
chr2L	217108	-	1
chr2L	217335	-	2
chr2L	217364	-	1
chr2L	217862	-	1
chr2L	218056	-	3
chr2L	218074	-	1
chr2L	218152	-	5
chr2L	218163	-	1
chr2L	218180	+	3
chr2L	218228	-	1
chr2L	218252	-	1
chr2L	218301	-	3
chr2L	218306	-	2
chr2L	221946	-	2
chr2L	224026	-	1
chr2L	224374	-	1
chr2L	224686	+	1
chr2L	225104	+	2
chr2L	225122	+	1
chr2L	225539	-	1
chr2L	226343	-	1
chr2L	226385	+	4
chr2L	227869	-	2
chr2L	227908	+	1
chr2L	227954	-	3
chr2L	227980	-	2
chr2L	227992	-	24
chr2L	227993	-	2
chr2L	227995	-	2
chr2L	231968	-	1
chr2L	232002	-	1
chr2L	233265	-	2
chr2L	234204	-	3
chr2L	234252	-	1
chr2L	234965	-	1
chr2L	234971	-	1
chr2L	234972	-	4
chr2L	235068	-	2
chr2L	235276	-	4
chr2L	235487	-	3
chr2L	235531	-	7
chr2L	235552	+	2
chr2L	235584	-	1
chr2L	235585	-	2
chr2L	235641	-	1
chr2L	235645	-	4
chr2L	235684	-	1
chr2L	235783	-	1
chr2L	235811	-	3
chr2L	235836	-	2
chr2L	236326	-	1
chr2L	236369	-	1
chr2L	236424	-	2
chr2L	236439	-	2
chr2L	236598	-	2
chr2L	236744	-	3
chr2L	236745	-	1
chr2L	236836	-	2
chr2L	237259	-	1
chr2L	237345	-	2
chr2L	237354	-	1
chr2L	237376	-	1
chr2L	237433	-	1
chr2L	238008	+	1
chr2L	238091	-	2
chr2L	238112	-	3
chr2L	238119	-	1
chr2L	238122	-	5
chr2L	238126	-	1
chr2L	238145	-	9
chr2L	238159	-	4
chr2L	238160	-	2
chr2L	238162	-	1
chr2L	238291	-	2
chr2L	238500	-	1
chr2L	238505	-	2
chr2L	238821	+	3
chr2L	239354	-	2
chr2L	239992	+	1
chr2L	240747	-	2
chr2L	241512	-	1
chr2L	241953	-	1
chr2L	241986	+	1
chr2L	246391	+	2
chr2L	246934	-	1
chr2L	246936	+	1
chr2L	249725	-	1
chr2L	250474	+	2
chr2L	252680	-	1
chr2L	252732	-	2
chr2L	253334	-	1
chr2L	253689	-	2
chr2L	253749	-	1
chr2L	253889	-	1
chr2L	254509	-	1
chr2L	258167	-	1
chr2L	260872	-	1
chr2L	262048	-	3
chr2L	263791	-	1
chr2L	264431	-	2
chr2L	264592	-	1
chr2L	264699	-	3
chr2L	264983	-	1
chr2L	265006	+	1
chr2L	265060	-	2
chr2L	265219	+	2
chr2L	265717	-	1
chr2L	265823	-	1
chr2L	267931	+	1
chr2L	269213	+	1
chr2L	269794	+	4
chr2L	271015	-	3
chr2L	271210	+	5
chr2L	271728	-	2
chr2L	271729	-	1
chr2L	271730	-	40
chr2L	271731	-	6
chr2L	271752	-	4
chr2L	272076	-	2
chr2L	272077	-	1
chr2L	272079	-	2
chr2L	272135	-	1
chr2L	272404	-	3
chr2L	272678	-	4
chr2L	272704	-	2
chr2L	272750	-	1
chr2L	272859	-	1
chr2L	272878	-	1
chr2L	272905	-	6
chr2L	272923	-	2
chr2L	272928	-	1
chr2L	272962	-	3
chr2L	273001	-	1
chr2L	273072	-	1
chr2L	273158	-	3
chr2L	273233	+	1
chr2L	273266	-	1
chr2L	273279	+	1
chr2L	273457	-	1
chr2L	274226	+	1
chr2L	274471	-	3
chr2L	274875	-	1
chr2L	274908	-	1
chr2L	274909	-	2
chr2L	274911	-	1
chr2L	275043	+	2
chr2L	275589	-	3
chr2L	275590	-	2
chr2L	275591	-	4
chr2L	275690	+	2
chr2L	275791	-	3
chr2L	275883	-	2
chr2L	276109	-	2
chr2L	276285	-	2
chr2L	276286	-	1
chr2L	276372	-	7
chr2L	276943	+	1
chr2L	277004	-	3
chr2L	277006	-	1
chr2L	277010	+	3
chr2L	277253	-	2
chr2L	277775	+	3
chr2L	278213	+	1
chr2L	278964	+	1
chr2L	278999	+	2
chr2L	279265	+	1
chr2L	279602	+	1
chr2L	280611	+	1
chr2L	280734	+	2
chr2L	280894	+	1
chr2L	280915	+	3
chr2L	280918	+	1
chr2L	280981	+	3
chr2L	281363	+	3
chr2L	281367	+	1
chr2L	281419	+	2
chr2L	282024	+	2
chr2L	282096	+	1
chr2L	282508	-	3
chr2L	282509	-	2
chr2L	282908	-	3
chr2L	282909	-	1
chr2L	283133	-	1
chr2L	283156	-	2
chr2L	283184	-	3
chr2L	283220	-	1
chr2L	283775	-	3
chr2L	283777	-	2
chr2L	283891	-	2
chr2L	284186	-	1
chr2L	284793	-	3
chr2L	284861	+	1
chr2L	284890	-	4
chr2L	285505	-	1
chr2L	285542	-	1
chr2L	285629	-	1
chr2L	285725	-	1
chr2L	285727	-	4
chr2L	285728	-	274
chr2L	285729	-	243
chr2L	286344	-	1
chr2L	286357	-	1
chr2L	286358	-	1
chr2L	286528	-	1
chr2L	286529	-	2
chr2L	286531	-	6
chr2L	287348	-	6
chr2L	287692	-	1
chr2L	287717	+	2
chr2L	287867	-	1
chr2L	288025	-	1
chr2L	288340	+	1
chr2L	290472	-	2
chr2L	291774	-	1
chr2L	292425	+	2
chr2L	292952	+	1
chr2L	293567	-	1
chr2L	293710	-	1
chr2L	293795	-	1
chr2L	294660	-	2
chr2L	295114	+	1
chr2L	295154	+	2
chr2L	295193	+	4
chr2L	295499	+	1
chr2L	295744	+	1
chr2L	295817	+	1
chr2L	295831	+	4
chr2L	295850	+	3
chr2L	295913	+	4
chr2L	295916	+	2
chr2L	295943	+	2
chr2L	296176	+	1
chr2L	296210	+	1
chr2L	296278	+	1
chr2L	296309	+	1
chr2L	296323	+	2
chr2L	296354	+	6
chr2L	296389	+	1
chr2L	296394	+	1
chr2L	296402	+	1
chr2L	296557	+	2
chr2L	296666	+	3
chr2L	296669	+	1
chr2L	296696	+	3
chr2L	296699	+	7
chr2L	296729	+	1
chr2L	296896	+	3
chr2L	296981	+	1
chr2L	297020	+	5
chr2L	297269	+	2
chr2L	297332	+	1
chr2L	297342	+	1
chr2L	297396	-	1
chr2L	297881	+	1
chr2L	297892	+	2
chr2L	297907	+	2
chr2L	297910	+	23
chr2L	297926	+	2
chr2L	297928	+	1
chr2L	298289	+	1
chr2L	298354	+	1
chr2L	298357	+	6
chr2L	298781	-	1
chr2L	299068	+	1
chr2L	299167	+	2
chr2L	299184	+	8
chr2L	299440	+	1
chr2L	299466	+	1
chr2L	299488	+	1
chr2L	299497	+	1
chr2L	299557	+	3
chr2L	299580	+	3
chr2L	299599	+	2
chr2L	299711	+	1
chr2L	299714	+	4
chr2L	302536	+	1
chr2L	302668	+	2
chr2L	303293	+	3
chr2L	303711	+	5
chr2L	304843	+	1
chr2L	305937	+	2
chr2L	310769	-	1
chr2L	310891	-	2
chr2L	312665	+	1
chr2L	318063	+	1
chr2L	319264	-	2
chr2L	320353	-	3
chr2L	320453	-	1
chr2L	321210	+	2
chr2L	321249	-	12
chr2L	321779	+	1
chr2L	322117	+	2
chr2L	322590	+	1
chr2L	322909	+	1
chr2L	323028	+	1
chr2L	326571	-	2
chr2L	326604	+	1
chr2L	327197	+	3
chr2L	330379	+	1
chr2L	331554	+	1
chr2L	333193	-	1
chr2L	334498	+	2
chr2L	336015	+	1
chr2L	336216	+	1
chr2L	336386	+	1
chr2L	337072	-	1
chr2L	338042	+	1
chr2L	338045	+	3
chr2L	340382	+	1
chr2L	341599	-	2
chr2L	343018	+	1
chr2L	344756	-	1
chr2L	344787	-	2
chr2L	345676	-	2
chr2L	345783	+	1
chr2L	346124	+	1
chr2L	346137	+	1
chr2L	346372	+	1
chr2L	346767	+	3
chr2L	347828	+	1
chr2L	356132	-	1
chr2L	356417	-	2
chr2L	357024	-	1
chr2L	357122	-	5
chr2L	357123	+	1
chr2L	357146	-	7
chr2L	357195	-	1
chr2L	367041	+	1
chr2L	372596	-	1
chr2L	374043	-	2
chr2L	376507	-	1
chr2L	376865	-	1
chr2L	377107	-	2
chr2L	377151	-	1
chr2L	377421	-	3
chr2L	377698	-	1
chr2L	381701	+	1
chr2L	382260	+	3
chr2L	382327	+	1
chr2L	382381	+	1
chr2L	383230	+	1
chr2L	384803	+	1
chr2L	386359	+	1
chr2L	386687	+	1
chr2L	387318	+	5
chr2L	388051	-	1
chr2L	389912	+	4
chr2L	392372	-	1
chr2L	393764	-	1
chr2L	396302	-	1
chr2L	397166	-	1
chr2L	397654	+	2
chr2L	398089	-	1
chr2L	398114	-	2
chr2L	401104	-	1
chr2L	404330	+	1
chr2L	404704	-	1
chr2L	404928	+	1
chr2L	404989	-	1
chr2L	405140	+	4
chr2L	405749	+	1
chr2L	405862	+	1
chr2L	406345	+	1
chr2L	406578	+	1
chr2L	406850	+	3
chr2L	406893	+	1
chr2L	407134	+	1
chr2L	407142	+	7
chr2L	407484	+	3
chr2L	407743	+	2
chr2L	408087	-	5
chr2L	408088	-	6
chr2L	408090	-	8
chr2L	408096	-	2
chr2L	408417	-	1
chr2L	408993	-	5
chr2L	408994	-	1
chr2L	408996	-	2
chr2L	409197	-	2
chr2L	409198	-	4
chr2L	409616	-	1
chr2L	409720	-	1
chr2L	409730	-	1
chr2L	409891	-	6
chr2L	409892	-	1
chr2L	409893	-	3
chr2L	409895	-	1
chr2L	410019	-	1
chr2L	410646	-	1
chr2L	411345	-	1
chr2L	414346	-	2
chr2L	414594	-	1
chr2L	416197	+	1
chr2L	416227	-	1
chr2L	416268	+	1
chr2L	416271	+	3
chr2L	416297	-	1
chr2L	416419	+	1
chr2L	416442	+	2
chr2L	416581	+	3
chr2L	416627	+	2
chr2L	416815	+	4
chr2L	416986	+	4
chr2L	416990	+	2
chr2L	417061	+	1
chr2L	417109	+	4
chr2L	417806	+	1
chr2L	418080	+	2
chr2L	418229	+	1
chr2L	418249	+	1
chr2L	418277	+	1
chr2L	418342	+	3
chr2L	418368	+	1
chr2L	418532	-	1
chr2L	419027	-	1
chr2L	419224	-	1
chr2L	419369	-	5
chr2L	419370	-	3
chr2L	419396	-	1
chr2L	419424	-	2
chr2L	419425	-	3
chr2L	419453	-	4
chr2L	419458	-	4
chr2L	419590	-	38
chr2L	419641	-	4
chr2L	419795	-	2
chr2L	419796	-	2
chr2L	419925	+	1
chr2L	419941	+	6
chr2L	419949	+	264
chr2L	419952	+	1
chr2L	419976	+	30
chr2L	419978	+	2
chr2L	419979	+	2186
chr2L	420047	+	22
chr2L	420050	+	3
chr2L	420060	+	1
chr2L	420063	+	28
chr2L	420080	+	2
chr2L	420085	+	1
chr2L	420098	+	3
chr2L	420254	+	1
chr2L	420286	+	27
chr2L	420289	+	39
chr2L	420303	+	1
chr2L	420324	+	1
chr2L	420370	+	6
chr2L	420381	+	3
chr2L	420402	+	1
chr2L	420405	+	1
chr2L	420413	+	1
chr2L	420484	+	1
chr2L	420505	+	2
chr2L	420645	+	3
chr2L	420958	-	2
chr2L	421313	-	3
chr2L	421438	-	7
chr2L	423746	-	1
chr2L	423797	+	6
chr2L	425552	-	1
chr2L	427321	+	1
chr2L	427486	-	2
chr2L	427876	+	1
chr2L	429653	-	3
chr2L	430893	-	3
chr2L	435145	+	1
chr2L	438902	+	2
chr2L	440550	+	1
chr2L	441883	-	4
chr2L	442248	+	1
chr2L	443702	-	2
chr2L	445113	-	1
chr2L	445520	-	1
chr2L	445678	-	2
chr2L	445777	-	1
chr2L	446028	+	1
chr2L	446039	+	1
chr2L	446088	+	1
chr2L	446140	+	1
chr2L	446178	+	2
chr2L	446330	+	3
chr2L	446403	-	1
chr2L	446557	-	1
chr2L	447068	+	1
chr2L	447229	+	1
chr2L	447509	+	2
chr2L	447517	+	3
chr2L	447591	+	2
chr2L	447680	+	1
chr2L	447895	-	1
chr2L	448239	+	2
chr2L	448315	-	3
chr2L	448620	+	1
chr2L	448780	-	5
chr2L	448881	-	3
chr2L	448988	-	5
chr2L	448989	-	2
chr2L	450375	-	2
chr2L	450505	-	5
chr2L	450768	-	1
chr2L	450781	-	4
chr2L	450789	-	3
chr2L	450979	-	5
chr2L	452620	-	2
chr2L	452621	-	3
chr2L	452792	-	1
chr2L	452853	-	3
chr2L	452925	-	4
chr2L	452927	-	1
chr2L	452975	-	1
chr2L	452976	-	4
chr2L	453007	-	28
chr2L	453008	-	10
chr2L	453009	-	3
chr2L	453062	+	2
chr2L	453114	+	3
chr2L	453187	+	1
chr2L	453212	+	2
chr2L	453299	-	2
chr2L	454105	+	2
chr2L	455482	+	2
chr2L	455539	+	1
chr2L	456872	+	1
chr2L	457069	+	1
chr2L	458556	-	1
chr2L	459116	-	1
chr2L	459767	-	1
chr2L	460128	-	2
chr2L	460648	-	1
chr2L	460673	+	1
chr2L	463851	+	1
chr2L	464084	+	1
chr2L	464462	+	3
chr2L	464482	+	1
chr2L	468041	-	1
chr2L	468387	+	2
chr2L	468493	+	2
chr2L	473475	-	2
chr2L	474178	-	2
chr2L	475519	-	1
chr2L	476189	+	1
chr2L	476639	-	1
chr2L	476812	-	3
chr2L	476853	-	3
chr2L	477115	-	1
chr2L	477116	-	1
chr2L	477172	-	1
chr2L	477275	-	1
chr2L	477288	-	2
chr2L	477300	-	3
chr2L	477305	-	1
chr2L	477324	-	2
chr2L	477391	-	1
chr2L	477393	-	1
chr2L	477413	-	1
chr2L	477424	-	2
chr2L	477426	-	1
chr2L	477439	-	1
chr2L	477503	-	1
chr2L	477504	-	1
chr2L	477590	-	1
chr2L	477605	-	2
chr2L	477607	-	1
chr2L	477638	-	1
chr2L	477658	-	1
chr2L	477688	-	4
chr2L	477689	-	1
chr2L	477698	-	2
chr2L	477732	-	1
chr2L	477733	-	2
chr2L	477769	-	7
chr2L	477770	-	1
chr2L	477772	-	1
chr2L	477783	-	1
chr2L	477964	-	1
chr2L	478133	-	1
chr2L	478190	-	1
chr2L	478406	-	1
chr2L	478529	-	2
chr2L	478621	-	1
