fly.cluster	fly.chr	fly.start	fly.end	fly.strand	fly.nr_ctss	fly.dominant_ctss	fly.tpm	fly.tpm.dominant_ctss
93	chr2L	3030492	3030493	+	1	3030493	5.00831368017223	5.00831368017223
94	chr2L	3030536	3030537	+	1	3030537	28.7010007475895	28.7010007475895
95	chr2L	3067927	3067931	+	2	3067931	3.86544761584577	2.70317982377949
96	chr2L	3160006	3160007	+	1	3160007	8.84153898526358	8.84153898526358
97	chr2L	3161438	3161439	+	1	3161439	147.549004205712	147.549004205712
98	chr2L	3453643	3453644	+	1	3453644	5.00831368017223	5.00831368017223
99	chr2L	3473645	3473649	+	2	3473649	4.25116524322957	2.70317982377949
100	chr2L	3478429	3478430	+	1	3478430	5.77566002886195	5.77566002886195
101	chr2L	3547809	3547827	+	2	3547810	7.71224521256919	4.62447495273345
102	chr2L	3725462	3725463	+	1	3725463	6.54261381066948	6.54261381066948
103	chr2L	3784005	3784009	+	2	3784009	2.71025321151637	1.54798541945008
104	chr2L	3784079	3784080	+	1	3784080	6.92595847127459	6.92595847127459
105	chr2L	4114324	4114325	+	1	4114325	20.6907126331071	20.6907126331071
106	chr2L	4114994	4114995	+	1	4114995	8.4585628685967	8.4585628685967
107	chr2L	4115453	4115454	+	1	4115454	5.00831368017223	5.00831368017223
108	chr2L	4228353	4228361	+	2	4228361	6.55994656411176	3.47217630427602
109	chr2L	4228393	4228406	+	3	4228394	6.95488849181043	2.70317982377949
110	chr2L	4342878	4342893	+	2	4342879	2.32453558413257	1.16226779206629
111	chr2L	4379596	4379616	+	2	4379597	2.71025321151637	1.54798541945008
112	chr2L	4812998	4813010	+	2	4813010	6.17058147223852	5.00831368017223
113	chr2L	4892187	4892191	+	2	4892191	3.86636379512118	2.3183783756711
114	chr2L	4903800	4903801	+	1	4903801	5.00831368017223	5.00831368017223
115	chr2L	4945573	4945593	+	3	4945593	13.1035328358335	5.39203933188174
116	chr2L	4973972	4974005	+	3	4973991	12.711275791254	8.07552011196818
117	chr2L	5011079	5011086	+	2	5011086	119.204938573002	114.19662489283
118	chr2L	5011116	5011117	+	1	5011117	28.3197752817744	28.3197752817744
119	chr2L	5011924	5011935	+	2	5011925	3.8666605847197	1.93333029235985
120	chr2L	5034354	5034363	+	2	5034363	4.63651011613933	2.70317982377949
121	chr2L	5034480	5034481	+	1	5034481	6.92595847127459	6.92595847127459
122	chr2L	5034686	5034687	+	1	5034687	10.7555138954498	10.7555138954498
123	chr2L	5036641	5036660	+	2	5036642	10.3867191641459	9.22445137207965
124	chr2L	5036683	5036690	+	3	5036687	49.0325178311703	27.5572649373172
125	chr2L	5036710	5036711	+	1	5036711	8.84153898526358	8.84153898526358
126	chr2L	5036766	5036777	+	3	5036772	75.7214324481959	51.5457369589696
127	chr2L	5038712	5038716	+	2	5038713	2.32453558413257	1.16226779206629
128	chr2L	5043266	5043267	+	1	5043267	20.6907126331071	20.6907126331071
129	chr2L	5046300	5046321	+	2	5046301	11.5428297477508	9.22445137207965
130	chr2L	5048089	5048093	+	2	5048093	5.40614863550683	3.08777025983574
131	chr2L	5052858	5052859	+	1	5052859	9.22445137207965	9.22445137207965
132	chr2L	5055892	5055896	+	2	5055893	2.71025321151637	1.54798541945008
133	chr2L	5071234	5071239	+	2	5071239	7.32364544831204	5.77566002886195
134	chr2L	5094052	5094065	+	2	5094053	3.48064616773738	2.3183783756711
135	chr2L	5163122	5163123	+	1	5163123	6.92595847127459	6.92595847127459
136	chr2L	5201724	5201725	+	1	5201725	7.30922160650763	7.30922160650763
137	chr2L	5201970	5201980	+	2	5201980	9.24433684694569	6.92595847127459
138	chr2L	5242706	5242725	+	2	5242707	10.0038067773299	8.84153898526358
139	chr2L	5243098	5243117	+	2	5243117	2.71025321151637	1.54798541945008
140	chr2L	5280631	5280648	+	2	5280648	4.25003805190202	3.08777025983574
141	chr2L	5309094	5309095	+	1	5309095	7.30922160650763	7.30922160650763
142	chr2L	5327781	5327801	+	2	5327801	66.8462225524641	58.7707024404959
143	chr2L	5327857	5327858	+	1	5327858	5.39203933188174	5.39203933188174
144	chr2L	5415819	5415820	+	1	5415820	9.60730269598138	9.60730269598138
145	chr2L	5520295	5520302	+	3	5520299	18.4364327412036	15.7261795296873
146	chr2L	5526945	5526946	+	1	5526946	10.7555138954498	10.7555138954498
147	chr2L	5542555	5542561	+	2	5542561	66.4002011505606	64.8522157311105
148	chr2L	5543300	5543319	+	2	5543301	2.71025321151637	1.54798541945008
149	chr2L	5543576	5543580	+	2	5543580	4.25116524322957	2.70317982377949
150	chr2L	5543621	5543625	+	2	5543622	3.09559808442614	1.93333029235985
151	chr2L	5544031	5544032	+	1	5544032	5.00831368017223	5.00831368017223
152	chr2L	5544147	5544163	+	2	5544163	7.32669205584333	5.00831368017223
153	chr2L	5544227	5544241	+	2	5544228	3.8666605847197	1.93333029235985
154	chr2L	5544264	5544280	+	2	5544280	5.40440402919964	3.85641860974955
155	chr2L	5544375	5544394	+	3	5544379	5.79999087707955	1.93333029235985
156	chr2L	5544648	5544667	+	2	5544649	3.86544761584577	2.70317982377949
157	chr2L	5544702	5544706	+	2	5544706	11.5463331284324	8.4585628685967
158	chr2L	5545457	5545476	+	3	5545461	9.63821189509562	6.54261381066948
159	chr2L	5546036	5546037	+	1	5546037	7.69240752725689	7.69240752725689
160	chr2L	5546069	5546070	+	1	5546070	56.8697448047998	56.8697448047998
161	chr2L	5552005	5552006	+	1	5552006	5.77566002886195	5.77566002886195
162	chr2L	5983121	5983136	+	2	5983136	2.71025321151637	1.54798541945008
163	chr2L	5983171	5983179	+	3	5983172	16.1683516302862	7.69240752725689
164	chr2L	5984123	5984144	+	2	5984124	31.7736960658344	30.2257106463844
165	chr2L	5984173	5984183	+	2	5984174	5.4027814599407	4.24051366787441
166	chr2L	5984206	5984207	+	1	5984207	8.84153898526358	8.84153898526358
167	chr2L	5984272	5984301	+	4	5984273	52.9462603033544	20.3090038342817
168	chr2L	5984338	5984361	+	3	5984361	37.1956655792427	23.3619433236889
169	chr2L	5984784	5984788	+	2	5984788	3.86544761584577	2.70317982377949
170	chr2L	5984880	5984898	+	3	5984881	93.5365726034133	73.9704343084683
171	chr2L	5985110	5985127	+	2	5985111	64.6428921059021	34.4171814595178
172	chr2L	5985423	5985436	+	5	5985433	18.8722125320715	10.7555138954498
173	chr2L	5985504	5985532	+	3	5985519	40.6201867821044	28.3197752817744
174	chr2L	6050834	6050854	+	2	6050835	8.47148939857392	7.30922160650763
175	chr2L	6051922	6051923	+	1	6051923	12.2857368361036	12.2857368361036
176	chr2L	6052268	6052269	+	1	6052269	5.00831368017223	5.00831368017223
177	chr2L	6052408	6052409	+	1	6052409	20.6907126331071	20.6907126331071
178	chr2L	6052588	6052593	+	2	6052589	2.32453558413257	1.16226779206629
179	chr2L	6052852	6052856	+	2	6052856	2.71025321151637	1.54798541945008
180	chr2L	6053788	6053789	+	1	6053789	14.197493831883	14.197493831883
181	chr2L	6123605	6123606	+	1	6123606	5.00831368017223	5.00831368017223
182	chr2L	6327878	6327882	+	2	6327882	2.71025321151637	1.54798541945008
183	chr2L	6342214	6342221	+	2	6342215	3.09597083890017	1.54798541945008
184	chr2L	6342277	6342278	+	1	6342278	5.00831368017223	5.00831368017223
185	chr2L	6342307	6342312	+	2	6342308	2.32453558413257	1.16226779206629
186	chr2L	6346090	6346091	+	1	6346091	11.90325354315	11.90325354315
187	chr2L	6374230	6374240	+	2	6374240	5.01868640181584	3.85641860974955
188	chr2L	6375802	6375806	+	2	6375806	9.62350553141827	8.07552011196818
189	chr2L	6377162	6377180	+	2	6377163	3.86544761584577	2.70317982377949
190	chr2L	6557777	6557781	+	2	6557781	83.6731107377013	53.447400091317
191	chr2L	6559034	6559035	+	1	6559035	32.5122259504278	32.5122259504278
192	chr2L	6562333	6562334	+	1	6562334	89.9171990407362	89.9171990407362
193	chr2L	6653465	6653469	+	2	6653469	8.47756118045041	6.15918280477931
194	chr2L	6653740	6653745	+	2	6653745	5.4027814599407	4.24051366787441
195	chr2L	6654519	6654520	+	1	6654520	44.3168665176893	44.3168665176893
196	chr2L	6718046	6718050	+	2	6718047	5.02110055219558	3.08777025983574
197	chr2L	6728747	6728751	+	2	6728748	2.32453558413257	1.16226779206629
198	chr2L	6857918	6857922	+	2	6857919	3.86544761584577	2.70317982377949
199	chr2L	6911058	6911060	+	2	6911059	3.48064616773738	2.3183783756711
200	chr2L	6925496	6925504	+	2	6925504	5.40550659663587	3.47217630427602
201	chr2L	6925723	6925727	+	2	6925724	14.2128353829112	13.0505675908449
202	chr2L	6926655	6926665	+	4	6926665	8.88560933957188	3.47217630427602
203	chr2L	6926778	6926779	+	1	6926779	5.77566002886195	5.77566002886195
204	chr2L	6926903	6926904	+	1	6926904	12.2857368361036	12.2857368361036
205	chr2L	6927007	6927031	+	3	6927031	8.10932845928632	3.08777025983574
206	chr2L	6927137	6927165	+	6	6927165	108.546223336088	65.6122464650799
207	chr2L	6927318	6927336	+	2	6927336	17.2802900825763	14.9619117069052
208	chr2L	6927564	6927565	+	1	6927565	5.39203933188174	5.39203933188174
209	chr2L	6927691	6927692	+	1	6927692	5.39203933188174	5.39203933188174
210	chr2L	6930992	6930993	+	1	6930993	9.60730269598138	9.60730269598138
211	chr2L	6931097	6931098	+	1	6931098	15.3440638979909	15.3440638979909
212	chr2L	6957034	6957035	+	1	6957035	6.54261381066948	6.54261381066948
213	chr2L	6957878	6957888	+	2	6957879	2.32453558413257	1.16226779206629
214	chr2L	7033926	7033943	+	2	7033943	2.71025321151637	1.54798541945008
215	chr2L	7061184	7061195	+	2	7061185	2.32453558413257	1.16226779206629
216	chr2L	7402898	7402902	+	2	7402899	5.40614863550683	3.08777025983574
217	chr2L	7404307	7404308	+	1	7404308	31.3690483401686	31.3690483401686
218	chr2L	7405209	7405228	+	3	7405228	39.8636046741497	29.082206763366
219	chr2L	7405256	7405257	+	1	7405257	10.7555138954498	10.7555138954498
220	chr2L	7408363	7408364	+	1	7408364	5.39203933188174	5.39203933188174
221	chr2L	7427322	7427327	+	2	7427323	2.32453558413257	1.16226779206629
222	chr2L	7440843	7440850	+	2	7440844	4.63444409634231	3.47217630427602
223	chr2L	7816428	7816429	+	1	7816429	11.5207230274671	11.5207230274671
224	chr2L	7818128	7818144	+	2	7818144	2.71025321151637	1.54798541945008
225	chr2L	7818233	7818249	+	2	7818249	6.17535612805551	3.47217630427602
226	chr2L	7818372	7818386	+	2	7818386	7.71149350395172	5.00831368017223
227	chr2L	7818550	7818551	+	1	7818551	16.490304653159	16.490304653159
228	chr2L	7827805	7827806	+	1	7827806	20.3090038342817	20.3090038342817
229	chr2L	7832589	7832599	+	4	7832596	11.1912805472652	4.24051366787441
230	chr2L	7832640	7832641	+	1	7832641	22.5988605119568	22.5988605119568
231	chr2L	8036066	8036070	+	2	8036070	5.78674274479974	4.62447495273345
232	chr2L	8037124	8037125	+	1	8037125	8.84153898526358	8.84153898526358
233	chr2L	8037195	8037196	+	1	8037196	7.30922160650763	7.30922160650763
234	chr2L	8038285	8038336	+	7	8038303	44.9878413090907	14.5797220151729
235	chr2L	8040204	8040222	+	2	8040222	16.5339465125205	8.84153898526358
236	chr2L	8083481	8083482	+	1	8083482	17.6362391963443	17.6362391963443
237	chr2L	8084676	8084697	+	3	8084697	5.41434921457127	2.3183783756711
238	chr2L	8089297	8089301	+	2	8089298	2.32453558413257	1.16226779206629
239	chr2L	8107878	8107879	+	1	8107879	6.54261381066948	6.54261381066948
240	chr2L	8114577	8114578	+	1	8114578	11.90325354315	11.90325354315
241	chr2L	8184160	8184164	+	2	8184164	22.9979464868181	21.8356786947518
242	chr2L	8184196	8184217	+	2	8184197	2.32453558413257	1.16226779206629
243	chr2L	8187498	8187499	+	1	8187499	5.39203933188174	5.39203933188174
244	chr2L	8213121	8213122	+	1	8213122	5.39203933188174	5.39203933188174
245	chr2L	8329644	8329651	+	3	8329648	5.02771540791206	2.70317982377949
246	chr2L	8365574	8365592	+	2	8365575	3.48064616773738	2.3183783756711
247	chr2L	8366241	8366245	+	2	8366242	2.32453558413257	1.16226779206629
248	chr2L	8366290	8366300	+	2	8366300	73.2548187787236	70.5516389549441
249	chr2L	8367472	8367476	+	2	8367473	5.78674274479974	4.62447495273345
250	chr2L	8367629	8367641	+	3	8367641	15.3972891299927	7.69240752725689
251	chr2L	8367959	8367972	+	2	8367972	6.55889204354551	4.24051366787441
252	chr2L	8368102	8368113	+	2	8368113	5.40550659663587	3.47217630427602
253	chr2L	8368595	8368615	+	2	8368596	3.86544761584577	2.70317982377949
254	chr2L	8369916	8369917	+	1	8369917	34.0362234949662	34.0362234949662
255	chr2L	8404101	8404102	+	1	8404102	5.39203933188174	5.39203933188174
256	chr2L	8404196	8404202	+	2	8404197	3.48064616773738	2.3183783756711
257	chr2L	8404398	8404399	+	1	8404399	37.8450949333732	37.8450949333732
258	chr2L	8415758	8415759	+	1	8415759	163.07782765387	163.07782765387
259	chr2L	8426877	8426902	+	5	8426899	27.6579516940425	19.927267474403
260	chr2L	8426924	8426925	+	1	8426925	15.3440638979909	15.3440638979909
261	chr2L	8426987	8426988	+	1	8426988	7.30922160650763	7.30922160650763
262	chr2L	8427873	8427893	+	2	8427874	2.32453558413257	1.16226779206629
263	chr2L	8428860	8428864	+	2	8428864	3.09559808442614	1.93333029235985
264	chr2L	8428898	8428899	+	1	8428899	5.00831368017223	5.00831368017223
265	chr2L	8429127	8429131	+	2	8429128	2.71025321151637	1.54798541945008
266	chr2L	8430298	8430338	+	7	8430321	30.8161907865187	9.99009540998002
267	chr2L	8515092	8515113	+	2	8515093	3.86636379512118	2.3183783756711
268	chr2L	8522123	8522128	+	2	8522128	9.24695306461505	6.15918280477931
269	chr2L	8523601	8523602	+	1	8523602	13.8152261124373	13.8152261124373
270	chr2L	8524545	8524546	+	1	8524546	5.39203933188174	5.39203933188174
271	chr2L	8825906	8825907	+	1	8825907	5.00831368017223	5.00831368017223
272	chr2L	8934846	8934850	+	2	8934847	68.4465027446941	42.033156037919
273	chr2L	8939714	8939715	+	1	8939715	5.00831368017223	5.00831368017223
274	chr2L	8998598	8998605	+	3	8998602	1899.46333353122	1837.87868621303
275	chr2L	9035668	9035669	+	1	9035669	5.00831368017223	5.00831368017223
276	chr2L	9387822	9387826	+	2	9387823	7.70488160273577	6.54261381066948
277	chr2L	9516205	9516206	+	1	9516206	27.1759795089073	27.1759795089073
278	chr2L	9516954	9516973	+	2	9516973	3.09559808442614	1.93333029235985
279	chr2L	9538940	9538941	+	1	9538941	5.39203933188174	5.39203933188174
280	chr2L	9615849	9615859	+	3	9615859	14.2309762389835	11.5207230274671
281	chr2L	9615980	9615990	+	2	9615990	6.17479698542065	3.85641860974955
282	chr2L	9655987	9655988	+	1	9655988	7.69240752725689	7.69240752725689
283	chr2L	9700353	9700363	+	2	9700354	14.2216319188211	11.90325354315
284	chr2L	9700817	9700838	+	2	9700818	11.549735274382	7.30922160650763
285	chr2L	9700868	9700869	+	1	9700869	165.72850691093	165.72850691093
286	chr2L	9701537	9701538	+	1	9701538	15.3440638979909	15.3440638979909
287	chr2L	9759709	9759710	+	1	9759710	6.15918280477931	6.15918280477931
288	chr2L	9912902	9912918	+	2	9912918	14.2128353829112	13.0505675908449
289	chr2L	9918645	9918661	+	2	9918646	13.0794790002574	9.60730269598138
290	chr2L	9920178	9920179	+	1	9920179	9.60730269598138	9.60730269598138
291	chr2L	9957289	9957290	+	1	9957290	6.54261381066948	6.54261381066948
292	chr2L	9959043	9959055	+	2	9959055	3.09559808442614	1.93333029235985
293	chr2L	9967685	9967689	+	2	9967689	6.55430712394803	5.39203933188174
294	chr2L	9967744	9967752	+	2	9967752	7.32536962424159	5.39203933188174
295	chr2L	9968022	9968052	+	3	9968023	4.25823863096646	1.54798541945008
296	chr2L	9968403	9968413	+	2	9968404	60.3377258617513	57.2499556019156
297	chr2L	9968457	9968458	+	1	9968458	14.9619117069052	14.9619117069052
298	chr2L	9984641	9984646	+	2	9984642	6.17479698542065	3.85641860974955
299	chr2L	10005783	10005788	+	2	10005784	6.55629909962231	5.00831368017223
300	chr2L	10006053	10006073	+	2	10006073	2.71025321151637	1.54798541945008
301	chr2L	10007063	10007067	+	2	10007064	2.32453558413257	1.16226779206629
302	chr2L	10007684	10007685	+	1	10007685	21.0723943832629	21.0723943832629
303	chr2L	10057638	10057642	+	2	10057639	16.136097577848	13.4329177540685
304	chr2L	10058337	10058338	+	1	10058338	6.54261381066948	6.54261381066948
305	chr2L	10059840	10059841	+	1	10059841	9.22445137207965	9.22445137207965
306	chr2L	10192295	10192296	+	1	10192296	5.00831368017223	5.00831368017223
307	chr2L	10201038	10201048	+	2	10201048	29.8718603944137	27.9385301020539
308	chr2L	10201254	10201273	+	2	10201255	5.40635964755897	2.70317982377949
309	chr2L	10201356	10201357	+	1	10201357	6.54261381066948	6.54261381066948
310	chr2L	10201430	10201449	+	3	10201431	4.25823863096646	1.54798541945008
311	chr2L	10201592	10201602	+	2	10201602	10.3969918663434	7.30922160650763
312	chr2L	10201622	10201636	+	3	10201623	22.6632658938521	16.8723158102368
313	chr2L	10201658	10201674	+	3	10201674	16.1629895821092	8.84153898526358
314	chr2L	10201724	10201728	+	2	10201725	3.48131571180993	1.93333029235985
315	chr2L	10201761	10201774	+	2	10201774	3.86544761584577	2.70317982377949
316	chr2L	10201994	10201995	+	1	10201995	13.8152261124373	13.8152261124373
317	chr2L	10202091	10202112	+	4	10202092	431.460530503755	311.694251679538
318	chr2L	10232522	10232523	+	1	10232523	13.0505675908449	13.0505675908449
319	chr2L	10239426	10239427	+	1	10239427	20.6907126331071	20.6907126331071
320	chr2L	10270050	10270051	+	1	10270051	620.230316300861	620.230316300861
321	chr2L	10314824	10314825	+	1	10314825	17.6362391963443	17.6362391963443
322	chr2L	10315525	10315526	+	1	10315526	6.15918280477931	6.15918280477931
323	chr2L	10317332	10317333	+	1	10317333	5.77566002886195	5.77566002886195
324	chr2L	10323495	10323496	+	1	10323496	13.8152261124373	13.8152261124373
325	chr2L	10331500	10331501	+	1	10331501	6.54261381066948	6.54261381066948
326	chr2L	10356855	10356856	+	1	10356856	95.9891834600651	95.9891834600651
327	chr2L	10364484	10364488	+	2	10364488	10.7786999357477	8.07552011196818
328	chr2L	10408769	10408773	+	2	10408770	2.71025321151637	1.54798541945008
329	chr2L	10409438	10409439	+	1	10409439	5.00831368017223	5.00831368017223
330	chr2L	10410341	10410342	+	1	10410342	7.69240752725689	7.69240752725689
331	chr2L	10410373	10410377	+	2	10410377	45.9578671102054	27.1759795089073
332	chr2L	10410398	10410399	+	1	10410399	8.4585628685967	8.4585628685967
333	chr2L	10426897	10426901	+	2	10426901	73.0142857456544	46.2196122153526
334	chr2L	10427092	10427096	+	2	10427093	6.55889204354551	4.24051366787441
335	chr2L	10460093	10460106	+	2	10460106	3.48064616773738	2.3183783756711
336	chr2L	10462399	10462400	+	1	10462400	8.4585628685967	8.4585628685967
337	chr2L	10517336	10517337	+	1	10517337	25.269238088717	25.269238088717
338	chr2L	10517719	10517720	+	1	10517720	8.4585628685967	8.4585628685967
339	chr2L	10728972	10728973	+	1	10728973	78.5278885437046	78.5278885437046
340	chr2L	10739350	10739373	+	3	10739355	5.41343303529586	2.70317982377949
341	chr2L	10860483	10860484	+	1	10860484	5.39203933188174	5.39203933188174
342	chr2L	10861905	10861909	+	2	10861909	69.8143028841163	68.65203509205
343	chr2L	10865153	10865155	+	2	10865154	6.94418886958529	3.85641860974955
344	chr2L	11006354	11006359	+	2	11006355	6.94435260855204	3.47217630427602
345	chr2L	11006798	11006805	+	2	11006805	6.94418886958529	3.85641860974955
346	chr2L	11008182	11008185	+	2	11008183	3.48064616773738	2.3183783756711
347	chr2L	11011363	11011364	+	1	11011364	8.4585628685967	8.4585628685967
348	chr2L	11011971	11011972	+	1	11011972	24.124930389434	24.124930389434
349	chr2L	11106939	11106940	+	1	11106940	294.316355522667	294.316355522667
350	chr2L	11124082	11124083	+	1	11124083	10.7555138954498	10.7555138954498
351	chr2L	11125233	11125237	+	2	11125237	3.48064616773738	2.3183783756711
352	chr2L	11126419	11126438	+	2	11126420	3.09559808442614	1.93333029235985
353	chr2L	11128685	11128686	+	1	11128686	6.15918280477931	6.15918280477931
354	chr2L	11242092	11242106	+	2	11242093	2.32453558413257	1.16226779206629
355	chr2L	11258802	11258806	+	2	11258806	5.01868640181584	3.85641860974955
356	chr2L	11259591	11259601	+	3	11259595	5.02771540791206	2.70317982377949
357	chr2L	11269776	11269777	+	1	11269777	15.7261795296873	15.7261795296873
358	chr2L	11486178	11486185	+	2	11486185	19.5845775658653	15.3440638979909
359	chr2L	11486633	11486658	+	3	11486634	3.87252100358266	1.54798541945008
