coordinates	pi
chr2L:6052588:6052593	0
chr2L:6052852:6052856	0
chr2L:6053788:6053789	0
chr2L:6123605:6123606	0
chr2L:6327878:6327882	0
chr2L:6342214:6342221	0
chr2L:6342277:6342278	0.166666666666666
chr2L:6342307:6342312	0
chr2L:6346090:6346091	0
chr2L:6374230:6374240	0
chr2L:6375802:6375806	0
chr2L:6377162:6377180	0
chr2L:6557777:6557781	0
chr2L:6559034:6559035	0
chr2L:6562333:6562334	0
chr2L:6653465:6653469	0
chr2L:6653740:6653745	0
chr2L:6654519:6654520	0
chr2L:6718046:6718050	0
chr2L:6728747:6728751	0
chr2L:6857918:6857922	0
chr2L:6911058:6911060	0
chr2L:6925496:6925504	0
chr2L:6925723:6925727	0
chr2L:6926655:6926665	0
chr2L:6926778:6926779	0.2
chr2L:6926903:6926904	0
chr2L:6927007:6927031	NaN
chr2L:6927137:6927165	0
chr2L:6927318:6927336	0
chr2L:6927564:6927565	0
chr2L:6927691:6927692	0
chr2L:6930992:6930993	0
chr2L:6931097:6931098	0
chr2L:6957034:6957035	0
chr2L:6957878:6957888	0
chr2L:7033926:7033943	0.0238095238095238
chr2L:7061184:7061195	0
chr2L:7402898:7402902	0
chr2L:7404307:7404308	0
chr2L:7405209:7405228	0
chr2L:7405256:7405257	0
chr2L:7408363:7408364	0
chr2L:7427322:7427327	0
chr2L:7440843:7440850	0
chr2L:7816428:7816429	0
chr2L:7818128:7818144	0
chr2L:7818233:7818249	0
chr2L:7818372:7818386	0
chr2L:7818550:7818551	0
chr2L:7827805:7827806	0
chr2L:7832589:7832599	0
chr2L:7832640:7832641	0
chr2L:8036066:8036070	0
chr2L:8037124:8037125	0
chr2L:8037195:8037196	0
chr2L:8038285:8038336	0
chr2L:8040204:8040222	0
chr2L:8083481:8083482	0
chr2L:8084676:8084697	0
chr2L:8089297:8089301	0
chr2L:8107878:8107879	0
chr2L:8114577:8114578	0
chr2L:8184160:8184164	0
chr2L:8184196:8184217	0
chr2L:8187498:8187499	0
chr2L:8213121:8213122	0
chr2L:8329644:8329651	0
chr2L:8365574:8365592	0.0131578947368421
chr2L:8366241:8366245	0
chr2L:8366290:8366300	0
chr2L:8367472:8367476	0
chr2L:8367629:8367641	0
chr2L:8367959:8367972	0
chr2L:8368102:8368113	0
chr2L:8368595:8368615	0
chr2L:8369916:8369917	0
chr2L:8404101:8404102	0
chr2L:8404196:8404202	0
chr2L:8404398:8404399	0
chr2L:8415758:8415759	0
chr2L:8426877:8426902	0
chr2L:8426924:8426925	0
chr2L:8426987:8426988	0
chr2L:8427873:8427893	0
chr2L:8428860:8428864	0
chr2L:8428898:8428899	0
chr2L:8429127:8429131	0.0857142857142858
chr2L:8430298:8430338	0
chr2L:8515092:8515113	0
chr2L:8522123:8522128	0
chr2L:8523601:8523602	0
chr2L:8524545:8524546	0
chr2L:8825906:8825907	0
chr2L:8934846:8934850	0
chr2L:8939714:8939715	0
chr2L:8998598:8998605	0
chr2L:9035668:9035669	0
chr2L:9387822:9387826	0
chr2L:9516205:9516206	0
chr2L:9516954:9516973	0
chr2L:9538940:9538941	0
chr2L:9615849:9615859	0.0227272727272727
chr2L:9615980:9615990	0.0227272727272727
chr2L:9655987:9655988	0
chr2L:9700353:9700363	0
chr2L:9700817:9700838	0
chr2L:9700868:9700869	0
chr2L:9701537:9701538	0
chr2L:9759709:9759710	0
chr2L:9912902:9912918	0
chr2L:9918645:9918661	0
chr2L:9920178:9920179	0
chr2L:9957289:9957290	0
chr2L:9959043:9959055	0
chr2L:9967685:9967689	0
chr2L:9967744:9967752	0
chr2L:9968022:9968052	0
chr2L:9968403:9968413	0
chr2L:9968457:9968458	0
chr2L:9984641:9984646	0
chr2L:10005783:10005788	0
chr2L:10006053:10006073	0
chr2L:10007063:10007067	0
chr2L:10007684:10007685	0
chr2L:10057638:10057642	0
chr2L:10058337:10058338	0
chr2L:10059840:10059841	0
chr2L:10192295:10192296	0
chr2L:10201038:10201048	0
chr2L:10201254:10201273	0
chr2L:10201356:10201357	0
chr2L:10201430:10201449	0.0125
chr2L:10201592:10201602	0
chr2L:10201622:10201636	0
chr2L:10201658:10201674	0
chr2L:10201724:10201728	0
chr2L:10201761:10201774	0
chr2L:10201994:10201995	0
chr2L:10202091:10202112	0
chr2L:10232522:10232523	0
chr2L:10239426:10239427	0
chr2L:10270050:10270051	0
chr2L:10314824:10314825	0
chr2L:10315525:10315526	0
chr2L:10317332:10317333	0
chr2L:10323495:10323496	0
chr2L:10331500:10331501	0
chr2L:10356855:10356856	0
chr2L:10364484:10364488	0
chr2L:10408769:10408773	0
chr2L:10409438:10409439	0
chr2L:10410341:10410342	0
chr2L:10410373:10410377	0
chr2L:10410398:10410399	0
chr2L:10426897:10426901	0
chr2L:10427092:10427096	0
chr2L:10460093:10460106	0.0357142857142857
chr2L:10462399:10462400	0
chr2L:10517336:10517337	0
chr2L:10517719:10517720	0
chr2L:10728972:10728973	0
chr2L:10739350:10739373	0
chr2L:10860483:10860484	0
chr2L:10861905:10861909	0
chr2L:10865153:10865155	0
chr2L:11006354:11006359	0
chr2L:11006798:11006805	0
chr2L:11008182:11008185	0
chr2L:11011363:11011364	0
chr2L:11011971:11011972	0
chr2L:11106939:11106940	0
chr2L:11124082:11124083	0
chr2L:11125233:11125237	0
chr2L:11126419:11126438	0
chr2L:11128685:11128686	0
chr2L:11242092:11242106	0
chr2L:11258802:11258806	0
chr2L:11259591:11259601	0
chr2L:11269776:11269777	0.267857142857143
chr2L:11486178:11486185	0
chr2L:11486633:11486658	0
chr2L:11486796:11486797	0
chr2L:11486878:11486899	0
chr2L:11742051:11742052	0
chr2L:12056565:12056569	0.05
chr2L:12093756:12093763	0
chr2L:12093823:12093824	0
chr2L:12094324:12094325	0
chr2L:12310963:12310964	0
chr2L:12397285:12397286	0
chr2L:12428316:12428317	0
chr2L:12680827:12680828	0
chr2L:12707873:12707874	0
chr2L:12726191:12726192	0
chr2L:12729145:12729146	0
chr2L:12738234:12738238	0
chr2L:12744560:12744564	0
chr2L:12974367:12974368	0
chr2L:12976231:12976232	0
chr2L:12976435:12976436	0
chr2L:12976723:12976731	0
chr2L:12977627:12977636	0
chr2L:12978264:12978265	0
chr2L:12978629:12978630	0
chr2L:13169377:13169378	0
chr2L:13169473:13169491	0
chr2L:13177177:13177181	0
chr2L:13179246:13179247	0
chr2L:13192978:13192979	0
chr2L:13196725:13196748	0
chr2L:13210683:13210687	0
chr2L:13224270:13224278	0
chr2L:13271620:13271621	0
chr2L:13296371:13296372	0
chr2L:13297978:13297979	0
chr2L:13366457:13366458	0
chr2L:13369185:13369202	0
chr2L:13736135:13736139	0
chr2L:13736164:13736197	0
chr2L:13736259:13736273	0
chr2L:13736378:13736388	0
chr2L:13736689:13736699	0
chr2L:13736749:13736750	0
chr2L:13771123:13771124	0
chr2L:13773633:13773634	0
chr2L:13773743:13773771	0
chr2L:13780698:13780733	0
chr2L:13797162:13797172	0
chr2L:13798806:13798824	0
chr2L:14092992:14092993	0
chr2L:14355153:14355157	0.0857142857142858
chr2L:14355183:14355187	0
chr2L:14364547:14364560	0
chr2L:14492518:14492519	0
chr2L:14493434:14493435	0
chr2L:14877907:14877910	0
chr2L:15005736:15005740	0
chr2L:15007817:15007837	0
chr2L:15042618:15042622	0
chr2L:15334527:15334528	0
chr2L:15752938:15752939	0
chr2L:15755781:15755782	0
chr2L:15765061:15765065	0
chr2L:16047083:16047084	0
chr2L:16047253:16047267	0
chr2L:16047389:16047390	0
chr2L:16048457:16048466	0
chr2L:16048656:16048657	0
chr2L:16166445:16166446	0
chr2L:16312799:16312815	0
chr2L:16327077:16327078	0
chr2L:16330287:16330288	0
chr2L:16352898:16352899	0
chr2L:16352948:16352949	0
chr2L:16681393:16681397	0
chr2L:16681453:16681454	0
chr2L:16685390:16685391	0
chr2L:16691894:16691895	0
chr2L:16696658:16696662	0
chr2L:16722406:16722410	0
chr2L:16722447:16722461	0
chr2L:16743440:16743456	0
chr2L:16743987:16744004	0
chr2L:16744173:16744194	0
chr2L:16745101:16745102	0
chr2L:16749775:16749776	0
chr2L:16770904:16770919	0
chr2L:16773014:16773015	0
chr2L:16782963:16782967	0
chr2L:16783502:16783507	0
chr2L:16783625:16783627	0
chr2L:16784323:16784324	0
chr2L:16784671:16784690	0
chr2L:16784713:16784714	0
chr2L:16784736:16784740	0
chr2L:16784763:16784774	0
chr2L:16784806:16784807	0
chr2L:16784971:16784984	0
chr2L:16785016:16785022	0
chr2L:16785054:16785055	0
chr2L:16785147:16785164	0
chr2L:16785190:16785194	0
chr2L:16785220:16785224	0
chr2L:16785923:16785951	0
chr2L:16786013:16786029	0
chr2L:16786809:16786810	0
chr2L:16788066:16788067	0
chr2L:16788541:16788559	0.0131578947368421
chr2L:16788647:16788648	0
chr2L:16801509:16801513	0
chr2L:16840270:16840274	0
chr2L:16840571:16840572	0
chr2L:16841697:16841718	0.0113636363636364
chr2L:16916210:16916214	0
chr2L:17408555:17408571	0
chr2L:17411349:17411353	0
chr2L:17484498:17484499	0
chr2L:17591113:17591145	0
chr2L:17972871:17972875	0
chr2L:18528922:18528942	0
chr2L:18530438:18530442	0
chr2L:18592811:18592828	0
chr2L:18606861:18606862	0
chr2L:18607575:18607594	0
chr2L:18677186:18677190	0
chr2L:18678978:18678999	0
chr2L:18695734:18695760	0
chr2L:18708855:18708859	0
chr2L:18988294:18988295	0
chr2L:19039093:19039098	0
chr2L:19040321:19040322	0
chr2L:19041910:19041911	0
chr2L:19046894:19046895	0
chr2L:19051920:19051957	0
chr2L:19058654:19058666	0
chr2L:19110152:19110153	0
chr2L:19133011:19133012	0
chr2L:19169093:19169106	0
chr2L:19169832:19169870	0
chr2L:19169945:19169952	0
chr2L:19170033:19170034	0
chr2L:19170065:19170066	0
chr2L:19170093:19170105	0
chr2L:19170128:19170133	0
chr2L:19170154:19170155	0
chr2L:19170211:19170212	0
chr2L:19170250:19170271	0
chr2L:19171245:19171246	0
chr2L:19173320:19173321	0
chr2L:19190645:19190662	0
chr2L:19206690:19206691	0
chr2L:19445227:19445231	0
chr2L:19496617:19496621	0
chr2L:19497629:19497650	0
chr2L:19523028:19523029	0
chr2L:19533447:19533448	0
chr2L:19533536:19533555	0
chr2L:19539627:19539633	0
chr2L:19542535:19542558	0
chr2L:19542591:19542595	0
chr2L:19542630:19542634	0
chr2L:19542822:19542826	0
chr2L:19543956:19543957	0
chr2L:19543997:19544029	0
chr2L:19544636:19544637	0
chr2L:19544762:19544768	0
chr2L:19553815:19553816	0
chr2L:19553849:19553850	0
chr2L:19554104:19554108	0
chr2L:19556388:19556389	0
chr2L:19577729:19577751	0
chr2L:19578979:19578990	0
chr2L:19613330:19613331	0
chr2L:19959788:19959809	0
chr2L:19959908:19959909	0
chr2L:20062870:20062871	0
chr2L:20069041:20069042	0
chr2L:20073498:20073499	0
chr2L:20091595:20091596	0
chr2L:20422465:20422466	0
chr2L:20422978:20422979	0
chr2L:20568697:20568698	0
chr2L:20736548:20736549	0
chr2L:20737589:20737603	0
chr2L:20737922:20737923	0
chr2L:20738072:20738073	0
chr2L:20738205:20738209	0
chr2L:20767360:20767361	0
chr2L:20770734:20770735	0
chr2L:20787676:20787699	0
chr2L:20788573:20788574	0
chr2L:20825476:20825477	0
chr2L:20827708:20827709	0
chr2L:20860878:20860879	0
chr2L:20865202:20865203	0
chr2L:20891589:20891593	0
chr2L:21102694:21102699	0
chr2L:21156836:21156837	0
chr2L:21170376:21170377	0
chr2L:21170482:21170500	0
chr2L:21170684:21170698	0
chr2L:21170891:21170892	0
chr2L:21170966:21170982	0
chr2L:21171263:21171268	0
chr2L:21180499:21180510	0
chr2L:21182747:21182751	0
chr2L:21225126:21225127	0
chr2L:21281484:21281485	0
chr2L:21318940:21318941	0
chr2L:21319315:21319319	0
chr2L:21390115:21390116	0
chr2L:21390684:21390692	0
chr2L:21576719:21576738	0
chr2L:21576861:21576862	0
chr2L:21576950:21576951	0
chr2L:21576996:21576997	0
chr2L:21728127:21728141	0
chr2L:21829223:21829224	0
chr2L:21834002:21834021	0.0125
chr2L:21834441:21834454	0
chr2L:21834805:21834809	0
chr2L:22146375:22146376	0
chr2L:22146555:22146575	0
chr2L:22146895:22146899	0
chr2L:22180604:22180605	0
chr2L:22258658:22258662	0
chr2L:22365444:22365448	0
chr2L:22365672:22365689	0
chr2L:22444186:22444206	0
chr2L:22472648:22472658	0
chr2L:22477198:22477199	0
chr2L:22743617:22743618	0
chr2L:22817573:22817577	0
chr2L:22874906:22874907	0
chr2L:11206:11209	0
chr2L:59247:59249	0
chr2L:122921:122922	0
chr2L:128928:128948	0
chr2L:211014:211017	0
chr2L:211825:211831	0
chr2L:212056:212076	0
chr2L:212155:212158	0
chr2L:212241:212253	0
chr2L:212389:212390	0
chr2L:212479:212497	0
chr2L:212651:212661	0
chr2L:212792:212815	0
chr2L:212866:212877	0
chr2L:212902:212904	0
chr2L:227991:227992	0
chr2L:238111:238122	0
chr2L:238144:238159	0
chr2L:271729:271731	0
chr2L:275588:275591	0
chr2L:285726:285729	0
chr2L:408086:408090	0
chr2L:409890:409893	0
chr2L:419368:419370	0
chr2L:419452:419458	0
chr2L:419589:419590	0
chr2L:450780:450789	0
chr2L:453006:453009	0
chr2L:542241:542262	0
chr2L:542543:542554	0
chr2L:542592:542594	0
chr2L:542920:542942	0
chr2L:543994:544005	0.0208333333333333
chr2L:544406:544408	0
chr2L:544649:544662	0
chr2L:568072:568073	0
chr2L:780916:780919	0
chr2L:863858:863879	0
chr2L:863943:863944	0
chr2L:868715:868719	0
chr2L:1010696:1010698	0
chr2L:1052166:1052170	0
chr2L:1114947:1114950	0
chr2L:1161962:1161963	0
chr2L:1163886:1163891	0.0416666666666667
chr2L:1163916:1163930	0
chr2L:1172792:1172803	0.0446428571428572
chr2L:1183475:1183477	0
chr2L:1380237:1380240	0
chr2L:1517639:1517641	0
chr2L:1518147:1518148	0
chr2L:1612795:1612796	0
chr2L:1709362:1709363	0
chr2L:1717083:1717087	0
chr2L:1725246:1725247	0
chr2L:1727707:1727723	0
chr2L:1752100:1752103	0
chr2L:1752133:1752135	0
chr2L:2145177:2145178	0
chr2L:2156724:2156751	0
chr2L:2157635:2157636	0
chr2L:2157676:2157678	0
chr2L:2158171:2158173	0
chr2L:2177851:2177852	0
chr2L:2178752:2178754	0
chr2L:2191012:2191016	0
chr2L:2217103:2217120	0
chr2L:2232804:2232806	0
chr2L:2233392:2233397	0
chr2L:2233588:2233590	0
chr2L:2233798:2233800	0
chr2L:2372517:2372519	0
chr2L:2374531:2374532	0
chr2L:2562966:2562968	0
chr2L:2582905:2582916	0
chr2L:2659909:2659912	0
chr2L:2748453:2748454	0
chr2L:2748479:2748488	0
chr2L:2759661:2759674	0.0306122448979592
chr2L:2765536:2765538	0
chr2L:2767392:2767394	0.19047619047619
chr2L:2817861:2817865	0
chr2L:2837835:2837836	0
chr2L:2869409:2869429	0
chr2L:2869476:2869478	0
chr2L:2881651:2881653	0
chr2L:2881723:2881729	0
chr2L:2882060:2882062	0
chr2L:2882170:2882172	0
chr2L:2882214:2882215	0
chr2L:2882325:2882344	0
chr2L:2882451:2882455	0
chr2L:2882754:2882781	0
chr2L:2969622:2969625	0
chr2L:2979287:2979288	0
chr2L:2984702:2984704	0
chr2L:2985097:2985098	0
chr2L:3018302:3018305	0
chr2L:3037248:3037260	0
chr2L:3145687:3145688	0
chr2L:3149082:3149084	0
chr2L:3361201:3361203	0
chr2L:3361396:3361413	0
chr2L:3513674:3513676	0
chr2L:3622104:3622109	0
chr2L:3622303:3622305	0
chr2L:3622347:3622349	0
chr2L:3622811:3622815	0
chr2L:3622871:3622881	0
chr2L:3695412:3695414	0
chr2L:3706645:3706649	0
chr2L:4198059:4198081	0
chr2L:4224691:4224693	0.0833333333333333
chr2L:4225437:4225456	0
chr2L:4225866:4225884	0
chr2L:4225962:4225966	0
chr2L:4226017:4226019	0
chr2L:4226952:4226956	0
chr2L:4228533:4228534	0
chr2L:4380854:4380856	0
chr2L:4386264:4386282	0
chr2L:4448486:4448491	0
chr2L:4448619:4448621	0.190476190476191
chr2L:4457245:4457280	0
chr2L:4457772:4457810	0
chr2L:4457860:4457862	0
chr2L:4457897:4457899	0
chr2L:4457932:4457933	0
chr2L:4457971:4457972	0
chr2L:4458029:4458049	0
chr2L:4458329:4458332	0
chr2L:4468137:4468155	0
chr2L:4796857:4796859	0
chr2L:4830633:4830635	0
chr2L:4837970:4837990	0
chr2L:4844577:4844578	0
chr2L:4845502:4845503	0
chr2L:4877599:4877616	0
chr2L:4911196:4911199	0
chr2L:4915498:4915502	0
chr2L:4966332:4966333	0
chr2L:4994091:4994095	0
chr2L:5009015:5009050	0
chr2L:5013359:5013361	0
chr2L:5042888:5042892	0
chr2L:5052703:5052704	0
chr2L:5052779:5052783	0
chr2L:5059471:5059473	0
chr2L:5073391:5073393	0
chr2L:5100206:5100207	0
chr2L:5220482:5220495	0
chr2L:5221624:5221625	0
chr2L:5278449:5278452	0
chr2L:5316485:5316504	0
chr2L:5318245:5318262	0
chr2L:5330655:5330659	0
chr2L:5332188:5332192	0
chr2L:5523898:5523901	0
chr2L:5539986:5540005	0
chr2L:5740895:5740898	0
chr2L:5763608:5763613	0
chr2L:5766034:5766037	0
chr2L:5766086:5766093	0
chr2L:5766120:5766124	0
chr2L:5766177:5766191	0
chr2L:5859126:5859128	0
chr2L:5973363:5973365	0
chr2L:5973401:5973402	0
chr2L:5973490:5973498	0
chr2L:5976615:5976616	0
chr2L:5981019:5981023	0
chr2L:5990621:5990624	0
chr2L:5994352:5994353	0
chr2L:6009471:6009473	0
chr2L:6047911:6047918	0
chr2L:6062739:6062740	0
chr2L:6335063:6335066	0
chr2L:6416471:6416473	0.0833333333333333
chr2L:6417222:6417223	0
chr2L:6449530:6449532	0
chr2L:6467667:6467673	0
chr2L:6477433:6477435	0
chr2L:6477874:6477892	0
chr2L:6478093:6478098	0
chr2L:6478127:6478128	0
chr2L:6478254:6478262	0
chr2L:6478293:6478323	0
chr2L:6478471:6478476	0
chr2L:6478628:6478634	0
chr2L:6478754:6478781	0
chr2L:6478860:6478866	0
chr2L:6478905:6478925	0
chr2L:6490342:6490344	0
chr2L:6490490:6490491	0
chr2L:6636546:6636551	0
chr2L:6666322:6666323	0
chr2L:6667802:6667804	0
chr2L:6671824:6671825	0
chr2L:6721067:6721069	0
chr2L:6786419:6786425	0
chr2L:6914452:6914456	0
chr2L:6914585:6914587	0
chr2L:6916858:6916863	0
chr2L:6917131:6917164	0
chr2L:6917413:6917414	0
chr2L:6917971:6917988	0.0138888888888889
chr2L:6918541:6918548	0
chr2L:6918568:6918590	0
chr2L:6918626:6918628	0
chr2L:6918698:6918712	0
chr2L:6967048:6967068	0
chr2L:6967606:6967609	0
chr2L:6972901:6972903	0
chr2L:6972941:6972943	0
chr2L:6976071:6976073	0
chr2L:6998558:6998560	0
chr2L:7032584:7032585	0
chr2L:7195444:7195447	0
chr2L:7206939:7206944	0
chr2L:7207748:7207751	0
chr2L:7219128:7219133	0
chr2L:7223055:7223058	0
chr2L:7255813:7255833	0
chr2L:7398413:7398415	0
chr2L:7430680:7430699	0
chr2L:7497368:7497370	0
chr2L:7519998:7519999	0
chr2L:7559810:7559812	0
chr2L:7792592:7792595	0
chr2L:7793021:7793032	0
chr2L:7799474:7799475	0
chr2L:7825726:7825735	0
chr2L:7826150:7826155	0
chr2L:7826227:7826236	0
chr2L:7826921:7826923	0
chr2L:7827191:7827194	0
chr2L:7827224:7827234	0
chr2L:7905957:7905959	0
chr2L:7987077:7987078	0
chr2L:7988690:7988691	0
chr2L:7995645:7995648	0
chr2L:8008360:8008361	0
chr2L:8041914:8041919	0
chr2L:8042053:8042054	0
chr2L:8042482:8042484	0
chr2L:8072846:8072850	0
chr2L:8075168:8075171	0
chr2L:8075475:8075496	0
chr2L:8126864:8126899	0
chr2L:8134474:8134475	0
chr2L:8196902:8196904	0
chr2L:8209689:8209696	0
chr2L:8209719:8209721	0
chr2L:8209870:8209871	0
chr2L:8210384:8210386	0
chr2L:8259536:8259556	0
chr2L:8261821:8261823	0
chr2L:8261988:8261992	0
chr2L:8272111:8272113	0
chr2L:8277429:8277431	0
chr2L:8283480:8283483	0
chr2L:8283959:8283962	0
chr2L:8296880:8296881	0
chr2L:8302959:8302963	0
chr2L:8308162:8308163	0
chr2L:8364315:8364320	0
chr2L:8383682:8383684	0
chr2L:8413891:8413892	0
chr2L:8435558:8435563	0
chr2L:8509561:8509581	0
chr2L:8509973:8509975	0
chr2L:8511313:8511316	0
chr2L:8511476:8511486	0
chr2L:8685847:8685852	0
chr2L:8685930:8685931	0
chr2L:8735033:8735035	0
chr2L:8941766:8941770	0
chr2L:8954968:8954989	0
chr2L:9251511:9251512	0
chr2L:9251679:9251695	0
chr2L:9251718:9251722	0
chr2L:9492091:9492113	0
chr2L:9494538:9494558	0
chr2L:9494695:9494749	0.0123376623376623
chr2L:9494780:9494781	0
chr2L:9574782:9574796	0.0166666666666667
chr2L:9682762:9682764	0
chr2L:9710201:9710203	0
chr2L:9711212:9711216	0
chr2L:9716280:9716287	0
chr2L:9719165:9719167	0
chr2L:9719497:9719517	0
chr2L:9720128:9720133	0
chr2L:9727007:9727010	0
chr2L:9727124:9727130	0
chr2L:9762546:9762548	0
chr2L:9787330:9787334	0
chr2L:9808361:9808362	0
chr2L:9815106:9815107	0
chr2L:9896625:9896640	0
chr2L:9896920:9896921	0
chr2L:9917314:9917325	0.0208333333333333
chr2L:9917370:9917373	0
chr2L:9918204:9918215	0
chr2L:9947430:9947449	0
chr2L:9966712:9966724	0.0412087912087912
chr2L:9966948:9966952	0
chr2L:9967264:9967265	0
chr2L:9997755:9997768	0
chr2L:10169257:10169259	0
chr2L:10200943:10200954	0
chr2L:10202859:10202883	0
chr2L:10213988:10213990	0
chr2L:10214057:10214059	0
chr2L:10220937:10220939	0
chr2L:10247718:10247722	0
chr2L:10274265:10274266	0
chr2L:10275226:10275245	0
chr2L:10282985:10282988	0
chr2L:10283471:10283472	0
chr2L:10283564:10283566	0
chr2L:10303937:10303941	0.107142857142857
chr2L:10318984:10318985	0
chr2L:10325110:10325121	0
chr2L:10374386:10374408	0
chr2L:10375708:10375710	0
chr2L:10385278:10385279	0
chr2L:10425543:10425550	0
chr2L:10487288:10487289	0
chr2L:10493858:10493864	0
chr2L:10506108:10506110	0
chr2L:10512826:10512827	0
