chr	start	end	strand	h_matrix
chr2L	853231	853232	+	0
chr2L	863858	863879	-	0
chr2L	863943	863944	-	0
chr2L	868715	868719	-	0
chr2L	872937	872941	+	0
chr2L	1010696	1010698	-	0
chr2L	1052166	1052170	-	0
chr2L	1114947	1114950	-	0
chr2L	1130385	1130389	+	0
chr2L	1143330	1143331	+	0
chr2L	1146050	1146051	+	0
chr2L	1147848	1147849	+	0
chr2L	1150753	1150787	+	0.0285771473458413
chr2L	1161962	1161963	-	0
chr2L	1163886	1163891	-	0.00666666666666667
chr2L	1163916	1163930	-	0.00460577673692428
chr2L	1172792	1172803	-	0.0454031843862352
chr2L	1183475	1183477	-	0.0163934426229508
chr2L	1184061	1184062	+	0
chr2L	1380237	1380240	-	0
chr2L	1517639	1517641	-	0
chr2L	1518147	1518148	-	0
chr2L	1556480	1556484	+	0.00847457627118642
chr2L	1569572	1569598	+	0
chr2L	1612795	1612796	-	0
chr2L	1695464	1695468	+	0
chr2L	1696851	1696884	+	0
chr2L	1697416	1697417	+	0
chr2L	1697525	1697530	+	0
chr2L	1700569	1700570	+	0
chr2L	1701909	1701910	+	0
chr2L	1705528	1705529	+	0
chr2L	1709362	1709363	-	0
chr2L	1710460	1710483	+	0.00802675585284281
chr2L	1717083	1717087	-	0
chr2L	1725246	1725247	-	0
chr2L	1727707	1727723	-	0
chr2L	1752100	1752103	-	0
chr2L	1752133	1752135	-	0
chr2L	1848207	1848208	+	0
chr2L	1942405	1942411	+	0.0372912228705505
chr2L	1974107	1974108	+	0
chr2L	1982214	1982215	+	0
chr2L	2042649	2042663	+	0
chr2L	2135492	2135493	+	0
chr2L	2145177	2145178	-	0
chr2L	2154246	2154247	+	0
chr2L	2155747	2155751	+	0
chr2L	2156724	2156751	-	0
chr2L	2157635	2157636	-	0
chr2L	2157676	2157678	-	0
chr2L	2158171	2158173	-	0
chr2L	2177851	2177852	-	0
chr2L	2178752	2178754	-	0
chr2L	2191012	2191016	-	0
chr2L	2217103	2217120	-	0
chr2L	2224082	2224095	+	0
chr2L	2232804	2232806	-	0
chr2L	2233392	2233397	-	0
chr2L	2233588	2233590	-	0
chr2L	2233798	2233800	-	0
chr2L	2372517	2372519	-	0
chr2L	2374531	2374532	-	0
chr2L	2562966	2562968	-	0
chr2L	2577933	2577934	+	0
chr2L	2580256	2580260	+	0
chr2L	2582905	2582916	-	0
chr2L	2659909	2659912	-	0
chr2L	2745747	2745760	+	0
chr2L	2745892	2745896	+	0
chr2L	2745968	2745969	+	0
chr2L	2748453	2748454	-	0
chr2L	2748479	2748488	-	0
chr2L	2752792	2752798	+	0
chr2L	2753236	2753237	+	0
chr2L	2753469	2753473	+	0
chr2L	2756079	2756115	+	0.000881834215167552
chr2L	2756238	2756242	+	0
chr2L	2756282	2756286	+	0
chr2L	2756397	2756437	+	0
chr2L	2756927	2756931	+	0
chr2L	2757267	2757268	+	0
chr2L	2757635	2757636	+	0
chr2L	2759661	2759674	-	0.0290350618945479
chr2L	2763430	2763434	+	0
chr2L	2765536	2765538	-	0
chr2L	2766273	2766294	+	0.00151171579743009
chr2L	2767392	2767394	-	0.0742447516641065
chr2L	2770137	2770138	+	0
chr2L	2770164	2770165	+	0
chr2L	2770188	2770189	+	0
chr2L	2812076	2812080	+	0
chr2L	2817861	2817865	-	0
chr2L	2837835	2837836	-	0
chr2L	2856084	2856101	+	0.00367458811481582
chr2L	2856638	2856655	+	0
chr2L	2865285	2865305	+	0.0252973048068908
chr2L	2866570	2866590	+	0.00631940772078265
chr2L	2869409	2869429	-	0
chr2L	2869476	2869478	-	0
chr2L	2879111	2879121	+	0
chr2L	2879162	2879163	+	0
chr2L	2881651	2881653	-	0
chr2L	2881723	2881729	-	0
chr2L	2882060	2882062	-	0
chr2L	2882170	2882172	-	0
chr2L	2882214	2882215	-	0
chr2L	2882325	2882344	-	0
chr2L	2882451	2882455	-	0
chr2L	2882754	2882781	-	0
chr2L	2969622	2969625	-	0
chr2L	2979287	2979288	-	0
chr2L	2984702	2984704	-	0
chr2L	2985097	2985098	-	0
chr2L	2988111	2988112	+	0
chr2L	2996310	2996311	+	0
chr2L	2998230	2998234	+	0
chr2L	3018302	3018305	-	0
chr2L	3025128	3025129	+	0
chr2L	3030492	3030493	+	0
chr2L	3030536	3030537	+	0
chr2L	3037248	3037260	-	0
chr2L	3067927	3067931	+	0
chr2L	3145687	3145688	-	0
chr2L	3149082	3149084	-	0
chr2L	3160006	3160007	+	0
chr2L	3161438	3161439	+	0
chr2L	3361201	3361203	-	0
chr2L	3361396	3361413	-	0
chr2L	3453643	3453644	+	0
chr2L	3473645	3473649	+	0
chr2L	3478429	3478430	+	0
chr2L	3513674	3513676	-	0
chr2L	3547809	3547827	+	0.0199309478970496
chr2L	3622104	3622109	-	0
chr2L	3622303	3622305	-	0
chr2L	3622347	3622349	-	0.0158730158730159
chr2L	3622811	3622815	-	0.00806451612903223
chr2L	3622871	3622881	-	0
chr2L	3695412	3695414	-	0
chr2L	3706645	3706649	-	0
chr2L	3725462	3725463	+	0
chr2L	3784005	3784009	+	0.116472765732417
chr2L	3784079	3784080	+	0
chr2L	4114324	4114325	+	0
chr2L	4114994	4114995	+	0
chr2L	4115453	4115454	+	0
chr2L	4198059	4198081	-	0
chr2L	4224691	4224693	-	0.0163934426229508
chr2L	4225437	4225456	-	0
chr2L	4225866	4225884	-	0
chr2L	4225962	4225966	-	0
chr2L	4226017	4226019	-	0
chr2L	4226952	4226956	-	0
chr2L	4228353	4228361	+	0
chr2L	4228393	4228406	+	0
chr2L	4228533	4228534	-	0
chr2L	4342878	4342893	+	0.0338203779466199
chr2L	4379596	4379616	+	0.00169491525423728
chr2L	4380854	4380856	-	0
chr2L	4386264	4386282	-	0
chr2L	4448486	4448491	-	0
chr2L	4448619	4448621	-	0.233766233766234
chr2L	4457245	4457280	-	0.00190364865993154
chr2L	4457772	4457810	-	0
chr2L	4457860	4457862	-	0
chr2L	4457897	4457899	-	0
chr2L	4457932	4457933	-	0
chr2L	4457971	4457972	-	0
chr2L	4458029	4458049	-	0
chr2L	4458329	4458332	-	0
chr2L	4468137	4468155	-	0
chr2L	4796857	4796859	-	0
chr2L	4812998	4813010	+	0.00555230859146698
chr2L	4830633	4830635	-	0
chr2L	4837970	4837990	-	0.00169491525423728
chr2L	4844577	4844578	-	0
chr2L	4845502	4845503	-	0
chr2L	4877599	4877616	-	0
chr2L	4892187	4892191	+	0
chr2L	4903800	4903801	+	0
chr2L	4911196	4911199	-	0.0111111111111111
chr2L	4915498	4915502	-	0
chr2L	4945573	4945593	+	0.0229885057471264
chr2L	4966332	4966333	-	0
chr2L	4973972	4974005	+	0.00101010101010101
chr2L	4994091	4994095	-	0
chr2L	5009015	5009050	-	0.00102040816326531
chr2L	5011079	5011086	+	0
chr2L	5011116	5011117	+	0
chr2L	5011924	5011935	+	0.04185927067283
chr2L	5013359	5013361	-	0
chr2L	5034354	5034363	+	0
chr2L	5034480	5034481	+	0
chr2L	5034686	5034687	+	0
chr2L	5036641	5036660	+	0
chr2L	5036683	5036690	+	0
chr2L	5036710	5036711	+	0
chr2L	5036766	5036777	+	0
chr2L	5038712	5038716	+	0
chr2L	5042888	5042892	-	0
chr2L	5043266	5043267	+	0
chr2L	5046300	5046321	+	0.00871670702179177
chr2L	5048089	5048093	+	0
chr2L	5052703	5052704	-	0
chr2L	5052779	5052783	-	0
chr2L	5052858	5052859	+	0
chr2L	5055892	5055896	+	0
chr2L	5059471	5059473	-	0
chr2L	5071234	5071239	+	0.0131073446327684
chr2L	5073391	5073393	-	0
chr2L	5094052	5094065	+	0
chr2L	5100206	5100207	-	0
chr2L	5163122	5163123	+	0
chr2L	5201724	5201725	+	0
chr2L	5201970	5201980	+	0
chr2L	5220482	5220495	-	0
chr2L	5221624	5221625	-	0
chr2L	5242706	5242725	+	0
chr2L	5243098	5243117	+	0.00339373022720736
chr2L	5278449	5278452	-	0
chr2L	5280631	5280648	+	0
chr2L	5309094	5309095	+	0
chr2L	5316485	5316504	-	0.00172562553925798
chr2L	5318245	5318262	-	0.00577577611991611
chr2L	5327781	5327801	+	0.00163934426229508
chr2L	5327857	5327858	+	0
chr2L	5330655	5330659	-	0
chr2L	5332188	5332192	-	0
chr2L	5415819	5415820	+	0
chr2L	5520295	5520302	+	0.0140268848626534
chr2L	5523898	5523901	-	0
chr2L	5526945	5526946	+	0
chr2L	5539986	5540005	-	0
chr2L	5542555	5542561	+	0
chr2L	5543300	5543319	+	0.00345125107851596
chr2L	5543576	5543580	+	0
chr2L	5543621	5543625	+	0
chr2L	5544031	5544032	+	0
chr2L	5544147	5544163	+	0.0521128554228026
chr2L	5544227	5544241	+	0.00234192037470726
chr2L	5544264	5544280	+	0
chr2L	5544375	5544394	+	0
chr2L	5544648	5544667	+	0
chr2L	5544702	5544706	+	0
chr2L	5545457	5545476	+	0.00172562553925798
chr2L	5546036	5546037	+	0
chr2L	5546069	5546070	+	0
chr2L	5552005	5552006	+	0
chr2L	5740895	5740898	-	0
chr2L	5763608	5763613	-	0
chr2L	5766034	5766037	-	0
chr2L	5766086	5766093	-	0
chr2L	5766120	5766124	-	0
chr2L	5766177	5766191	-	0
chr2L	5859126	5859128	-	0
chr2L	5973363	5973365	-	0
chr2L	5973401	5973402	-	0
chr2L	5973490	5973498	-	0
chr2L	5976615	5976616	-	0
chr2L	5981019	5981023	-	0
chr2L	5983121	5983136	+	0
chr2L	5983171	5983179	+	0
chr2L	5984123	5984144	+	0
chr2L	5984173	5984183	+	0
chr2L	5984206	5984207	+	0
chr2L	5984272	5984301	+	0
chr2L	5984338	5984361	+	0
chr2L	5984784	5984788	+	0
chr2L	5984880	5984898	+	0
chr2L	5985110	5985127	+	0
chr2L	5985423	5985436	+	0
chr2L	5985504	5985532	+	0
chr2L	5990621	5990624	-	0
chr2L	5994352	5994353	-	0
chr2L	6009471	6009473	-	0
chr2L	6047911	6047918	-	0
chr2L	6050834	6050854	+	0
chr2L	6051922	6051923	+	0
chr2L	6052268	6052269	+	0
chr2L	6052408	6052409	+	0
chr2L	6052588	6052593	+	0
chr2L	6052852	6052856	+	0
chr2L	6053788	6053789	+	0
chr2L	6062739	6062740	-	0
chr2L	6123605	6123606	+	0
chr2L	6327878	6327882	+	0
chr2L	6335063	6335066	-	0.0214936247723133
chr2L	6342214	6342221	+	0
chr2L	6342277	6342278	+	0.130021141649049
chr2L	6342307	6342312	+	0
chr2L	6346090	6346091	+	0
chr2L	6374230	6374240	+	0.0155367231638418
chr2L	6375802	6375806	+	0
chr2L	6377162	6377180	+	0.00370370370370371
chr2L	6416471	6416473	-	0.220056497175141
chr2L	6417222	6417223	-	0
chr2L	6449530	6449532	-	0
chr2L	6467667	6467673	-	0
chr2L	6477433	6477435	-	0
chr2L	6477874	6477892	-	0.00876680303915839
chr2L	6478093	6478098	-	0
chr2L	6478127	6478128	-	0
chr2L	6478254	6478262	-	0
chr2L	6478293	6478323	-	0
chr2L	6478471	6478476	-	0
chr2L	6478628	6478634	-	0
chr2L	6478754	6478781	-	0
chr2L	6478860	6478866	-	0
chr2L	6478905	6478925	-	0.0119228521332554
chr2L	6490342	6490344	-	0
chr2L	6490490	6490491	-	0
chr2L	6557777	6557781	+	0.0163841807909605
chr2L	6559034	6559035	+	0
chr2L	6562333	6562334	+	0
chr2L	6636546	6636551	-	0
chr2L	6653465	6653469	+	0
chr2L	6653740	6653745	+	0
chr2L	6654519	6654520	+	0
chr2L	6666322	6666323	-	0
chr2L	6667802	6667804	-	0
chr2L	6671824	6671825	-	0
chr2L	6718046	6718050	+	0
chr2L	6721067	6721069	-	0
chr2L	6728747	6728751	+	0
chr2L	6786419	6786425	-	0
chr2L	6857918	6857922	+	0
chr2L	6911058	6911060	+	0
chr2L	6914452	6914456	-	0
chr2L	6914585	6914587	-	0
chr2L	6916858	6916863	-	0
chr2L	6917131	6917164	-	0.00400262118555514
chr2L	6917413	6917414	-	0
chr2L	6917971	6917988	-	0.0248033877797943
chr2L	6918541	6918548	-	0
chr2L	6918568	6918590	-	0
chr2L	6918626	6918628	-	0
chr2L	6918698	6918712	-	0
chr2L	6925496	6925504	+	0
chr2L	6925723	6925727	+	0
chr2L	6926655	6926665	+	0
chr2L	6926778	6926779	+	0
chr2L	6926903	6926904	+	0
chr2L	6927007	6927031	+	0.00284921098772647
chr2L	6927137	6927165	+	0
chr2L	6927318	6927336	+	0
chr2L	6927564	6927565	+	0
chr2L	6927691	6927692	+	0
chr2L	6930992	6930993	+	0
chr2L	6931097	6931098	+	0
chr2L	6957034	6957035	+	0
chr2L	6957878	6957888	+	0
chr2L	6967048	6967068	-	0
chr2L	6967606	6967609	-	0
chr2L	6972901	6972903	-	0
chr2L	6972941	6972943	-	0
chr2L	6976071	6976073	-	0
chr2L	6998558	6998560	-	0
chr2L	7032584	7032585	-	0
chr2L	7033926	7033943	+	0
chr2L	7061184	7061195	+	0.00313479623824452
chr2L	7195444	7195447	-	0
chr2L	7206939	7206944	-	0
chr2L	7207748	7207751	-	0
chr2L	7219128	7219133	-	0.00689655172413794
chr2L	7223055	7223058	-	0
chr2L	7255813	7255833	-	0.00166666666666667
chr2L	7398413	7398415	-	0
chr2L	7402898	7402902	+	0
chr2L	7404307	7404308	+	0
chr2L	7405209	7405228	+	0
chr2L	7405256	7405257	+	0
chr2L	7408363	7408364	+	0
chr2L	7427322	7427327	+	0
chr2L	7430680	7430699	-	0.0140414557264304
chr2L	7440843	7440850	+	0
chr2L	7497368	7497370	-	0
chr2L	7519998	7519999	-	0
chr2L	7559810	7559812	-	0
chr2L	7792592	7792595	-	0
chr2L	7793021	7793032	-	0.00605706391796398
chr2L	7799474	7799475	-	0
chr2L	7816428	7816429	+	0
chr2L	7818128	7818144	+	0.00208333333333333
chr2L	7818233	7818249	+	0
chr2L	7818372	7818386	+	0.00238095238095238
chr2L	7818550	7818551	+	0
chr2L	7825726	7825735	-	0
chr2L	7826150	7826155	-	0
chr2L	7826227	7826236	-	0
chr2L	7826921	7826923	-	0
chr2L	7827191	7827194	-	0
chr2L	7827224	7827234	-	0.00344827586206897
chr2L	7827805	7827806	+	0
chr2L	7832589	7832599	+	0
chr2L	7832640	7832641	+	0
chr2L	7905957	7905959	-	0
chr2L	7987077	7987078	-	0
chr2L	7988690	7988691	-	0
chr2L	7995645	7995648	-	0.0109289617486339
chr2L	8008360	8008361	-	0
chr2L	8036066	8036070	+	0
chr2L	8037124	8037125	+	0
chr2L	8037195	8037196	+	0
chr2L	8038285	8038336	+	0
chr2L	8040204	8040222	+	0
chr2L	8041914	8041919	-	0
chr2L	8042053	8042054	-	0
chr2L	8042482	8042484	-	0
chr2L	8072846	8072850	-	0
chr2L	8075168	8075171	-	0
chr2L	8075475	8075496	-	0
chr2L	8083481	8083482	+	0
chr2L	8084676	8084697	+	0.00777508743610439
chr2L	8089297	8089301	+	0
chr2L	8107878	8107879	+	0
chr2L	8114577	8114578	+	0
chr2L	8126864	8126899	-	0
chr2L	8134474	8134475	-	0
chr2L	8184160	8184164	+	0
chr2L	8184196	8184217	+	0
chr2L	8187498	8187499	+	0
chr2L	8196902	8196904	-	0
chr2L	8209689	8209696	-	0
chr2L	8209719	8209721	-	0
chr2L	8209870	8209871	-	0
chr2L	8210384	8210386	-	0
chr2L	8213121	8213122	+	0
chr2L	8259536	8259556	-	0.0309828560296123
chr2L	8261821	8261823	-	0
chr2L	8261988	8261992	-	0
chr2L	8272111	8272113	-	0
chr2L	8277429	8277431	-	0
chr2L	8283480	8283483	-	0
chr2L	8283959	8283962	-	0
chr2L	8296880	8296881	-	0
chr2L	8302959	8302963	-	0
chr2L	8308162	8308163	-	0
chr2L	8329644	8329651	+	0
chr2L	8364315	8364320	-	0.0133255406195208
chr2L	8365574	8365592	+	0.0156622724419335
chr2L	8366241	8366245	+	0
chr2L	8366290	8366300	+	0
chr2L	8367472	8367476	+	0
chr2L	8367629	8367641	+	0
chr2L	8367959	8367972	+	0
chr2L	8368102	8368113	+	0
chr2L	8368595	8368615	+	0
chr2L	8369916	8369917	+	0
chr2L	8383682	8383684	-	0
chr2L	8404101	8404102	+	0
chr2L	8404196	8404202	+	0
chr2L	8404398	8404399	+	0
chr2L	8413891	8413892	-	0
chr2L	8415758	8415759	+	0
chr2L	8426877	8426902	+	0
chr2L	8426924	8426925	+	0
chr2L	8426987	8426988	+	0
chr2L	8427873	8427893	+	0
chr2L	8428860	8428864	+	0.0163841807909605
chr2L	8428898	8428899	+	0
chr2L	8429127	8429131	+	0.126826417299825
chr2L	8430298	8430338	+	0.000847457627118642
chr2L	8435558	8435563	-	0
chr2L	8509561	8509581	-	0
chr2L	8509973	8509975	-	0
chr2L	8511313	8511316	-	0
chr2L	8511476	8511486	-	0.0160314579552329
chr2L	8515092	8515113	+	0
chr2L	8522123	8522128	+	0.0133255406195208
chr2L	8523601	8523602	+	0
chr2L	8524545	8524546	+	0
chr2L	8685847	8685852	-	0
chr2L	8685930	8685931	-	0
chr2L	8735033	8735035	-	0
chr2L	8825906	8825907	+	0
chr2L	8934846	8934850	+	0
chr2L	8939714	8939715	+	0
chr2L	8941766	8941770	-	0
chr2L	8954968	8954989	-	0
chr2L	8998598	8998605	+	0
chr2L	9035668	9035669	+	0
chr2L	9251511	9251512	-	0
chr2L	9251679	9251695	-	0
chr2L	9251718	9251722	-	0
chr2L	9387822	9387826	+	0
chr2L	9492091	9492113	-	0.00302853195898199
chr2L	9494538	9494558	-	0
chr2L	9494695	9494749	-	0.00417776046063597
chr2L	9494780	9494781	-	0
chr2L	9516205	9516206	+	0
chr2L	9516954	9516973	+	0
chr2L	9538940	9538941	+	0
chr2L	9574782	9574796	-	0.0358037952022914
chr2L	9615849	9615859	+	0.0338345864661654
chr2L	9615980	9615990	+	0.0534200785423524
chr2L	9655987	9655988	+	0
chr2L	9682762	9682764	-	0
chr2L	9700353	9700363	+	0
chr2L	9700817	9700838	+	0
chr2L	9700868	9700869	+	0
chr2L	9701537	9701538	+	0
chr2L	9710201	9710203	-	0
chr2L	9711212	9711216	-	0
chr2L	9716280	9716287	-	0
chr2L	9719165	9719167	-	0
chr2L	9719497	9719517	-	0
chr2L	9720128	9720133	-	0
chr2L	9727007	9727010	-	0
chr2L	9727124	9727130	-	0
chr2L	9759709	9759710	+	0
chr2L	9762546	9762548	-	0
chr2L	9787330	9787334	-	0
chr2L	9808361	9808362	-	0
chr2L	9815106	9815107	-	0
chr2L	9896625	9896640	-	0
chr2L	9896920	9896921	-	0
chr2L	9912902	9912918	+	0.0122004675628288
chr2L	9917314	9917325	-	0.0230556200287659
chr2L	9917370	9917373	-	0
chr2L	9918204	9918215	-	0.00318979266347688
chr2L	9918645	9918661	+	0
chr2L	9920178	9920179	+	0
chr2L	9947430	9947449	-	0
chr2L	9957289	9957290	+	0
chr2L	9959043	9959055	+	0
chr2L	9966712	9966724	-	0.0331450094161959
chr2L	9966948	9966952	-	0
chr2L	9967264	9967265	-	0
chr2L	9967685	9967689	+	0
chr2L	9967744	9967752	+	0
chr2L	9968022	9968052	+	0
chr2L	9968403	9968413	+	0
chr2L	9968457	9968458	+	0
chr2L	9984641	9984646	+	0.0384180790960452
chr2L	9997755	9997768	-	0
chr2L	10005783	10005788	+	0
chr2L	10006053	10006073	+	0
chr2L	10007063	10007067	+	0
chr2L	10007684	10007685	+	0
chr2L	10057638	10057642	+	0
chr2L	10058337	10058338	+	0
chr2L	10059840	10059841	+	0
chr2L	10169257	10169259	-	0
chr2L	10192295	10192296	+	0
chr2L	10200943	10200954	-	0.0426790902659124
chr2L	10201038	10201048	+	0
chr2L	10201254	10201273	+	0.00178412132024977
chr2L	10201356	10201357	+	0
chr2L	10201430	10201449	+	0.00993409112618206
chr2L	10201592	10201602	+	0
chr2L	10201622	10201636	+	0
chr2L	10201658	10201674	+	0
chr2L	10201724	10201728	+	0
chr2L	10201761	10201774	+	0
chr2L	10201994	10201995	+	0
chr2L	10202091	10202112	+	0
chr2L	10202859	10202883	-	0
chr2L	10213988	10213990	-	0
chr2L	10214057	10214059	-	0
chr2L	10220937	10220939	-	0
chr2L	10232522	10232523	+	0
chr2L	10239426	10239427	+	0
chr2L	10247718	10247722	-	0
chr2L	10270050	10270051	+	0
chr2L	10274265	10274266	-	0
chr2L	10275226	10275245	-	0
chr2L	10282985	10282988	-	0
chr2L	10283471	10283472	-	0
chr2L	10283564	10283566	-	0
chr2L	10303937	10303941	-	0.12249373433584
chr2L	10314824	10314825	+	0
chr2L	10315525	10315526	+	0
chr2L	10317332	10317333	+	0
chr2L	10318984	10318985	-	0
chr2L	10323495	10323496	+	0
chr2L	10325110	10325121	-	0
chr2L	10331500	10331501	+	0
chr2L	10356855	10356856	+	0
chr2L	10364484	10364488	+	0
chr2L	10374386	10374408	-	0
chr2L	10375708	10375710	-	0
chr2L	10385278	10385279	-	0
chr2L	10408769	10408773	+	0
chr2L	10409438	10409439	+	0
chr2L	10410341	10410342	+	0
chr2L	10410373	10410377	+	0
chr2L	10410398	10410399	+	0
chr2L	10425543	10425550	-	0
chr2L	10426897	10426901	+	0
chr2L	10427092	10427096	+	0
chr2L	10460093	10460106	+	0.059687613134351
chr2L	10462399	10462400	+	0
chr2L	10487288	10487289	-	0
chr2L	10493858	10493864	-	0
chr2L	10506108	10506110	-	0
chr2L	10512826	10512827	-	0
chr2L	10517336	10517337	+	0
chr2L	10517719	10517720	+	0
chr2L	10688790	10688808	-	0.00194931773879143
chr2L	10728972	10728973	+	0
chr2L	10731472	10731473	-	0
chr2L	10739350	10739373	+	0
chr2L	10756067	10756070	-	0
chr2L	10765595	10765599	-	0
chr2L	10766043	10766044	-	0
chr2L	10769961	10769962	-	0
chr2L	10847564	10847568	-	0
chr2L	10847593	10847597	-	0
chr2L	10858082	10858083	-	0
chr2L	10860483	10860484	+	0
chr2L	10861905	10861909	+	0
chr2L	10865153	10865155	+	0
chr2L	10889591	10889592	-	0
chr2L	10975847	10975851	-	0
chr2L	10976351	10976352	-	0
chr2L	11002858	11002863	-	0
chr2L	11006354	11006359	+	0
chr2L	11006798	11006805	+	0
chr2L	11008182	11008185	+	0
chr2L	11011363	11011364	+	0
chr2L	11011971	11011972	+	0
chr2L	11101989	11102005	-	0
chr2L	11106939	11106940	+	0.0333333333333334
chr2L	11124082	11124083	+	0
chr2L	11125233	11125237	+	0.0245470485096435
chr2L	11126419	11126438	+	0
chr2L	11128685	11128686	+	0
chr2L	11130294	11130297	-	0
chr2L	11242092	11242106	+	0
chr2L	11258802	11258806	+	0
chr2L	11259591	11259601	+	0
chr2L	11268982	11268983	-	0
chr2L	11269776	11269777	+	0
chr2L	11486178	11486185	+	0
chr2L	11486633	11486658	+	0
chr2L	11486796	11486797	+	0
chr2L	11486878	11486899	+	0
chr2L	11508434	11508449	-	0
chr2L	11509786	11509797	-	0
chr2L	11524240	11524269	-	0
chr2L	11524620	11524623	-	0
chr2L	11742051	11742052	+	0
chr2L	11797588	11797593	-	0
chr2L	11815164	11815167	-	0
chr2L	11965728	11965729	-	0
chr2L	11966046	11966048	-	0
chr2L	11984393	11984394	-	0
chr2L	11988812	11988815	-	0
chr2L	12002256	12002266	-	0
chr2L	12038478	12038483	-	0
chr2L	12040522	12040525	-	0
chr2L	12040658	12040660	-	0
chr2L	12040689	12040690	-	0
chr2L	12045407	12045408	-	0
chr2L	12045597	12045601	-	0
chr2L	12045635	12045640	-	0
chr2L	12056565	12056569	+	0.00862068965517243
chr2L	12093756	12093763	+	0
chr2L	12093823	12093824	+	0
chr2L	12094324	12094325	+	0
chr2L	12109088	12109089	-	0
chr2L	12310963	12310964	+	0
chr2L	12397285	12397286	+	0
chr2L	12427728	12427729	-	0
chr2L	12428316	12428317	+	0
chr2L	12431949	12431950	-	0
chr2L	12432124	12432127	-	0
chr2L	12456551	12456554	-	0
chr2L	12456761	12456765	-	0
chr2L	12456842	12456849	-	0
chr2L	12456957	12456959	-	0
chr2L	12457257	12457268	-	0
chr2L	12457446	12457449	-	0
chr2L	12457540	12457547	-	0
chr2L	12457776	12457798	-	0.00181818181818182
chr2L	12481998	12482000	-	0
chr2L	12680827	12680828	+	0
chr2L	12690396	12690398	-	0
chr2L	12691708	12691710	-	0
chr2L	12692219	12692221	-	0
chr2L	12707873	12707874	+	0
chr2L	12712449	12712451	-	0
chr2L	12726191	12726192	+	0
chr2L	12729145	12729146	+	0
chr2L	12738234	12738238	+	0
chr2L	12744560	12744564	+	0
chr2L	12974367	12974368	+	0
chr2L	12976231	12976232	+	0
chr2L	12976435	12976436	+	0.0689223057644111
chr2L	12976723	12976731	+	0
chr2L	12977627	12977636	+	0
chr2L	12978264	12978265	+	0
chr2L	12978629	12978630	+	0
chr2L	13002915	13002917	-	0
chr2L	13004075	13004078	-	0
chr2L	13016762	13016764	-	0
chr2L	13016873	13016883	-	0.0068922305764411
chr2L	13022886	13022887	-	0
chr2L	13022975	13022976	-	0.505050505050505
chr2L	13024521	13024523	-	0
chr2L	13169377	13169378	+	0
chr2L	13169473	13169491	+	0
chr2L	13177177	13177181	+	0
chr2L	13179246	13179247	+	0
chr2L	13185140	13185142	-	0
chr2L	13187237	13187262	-	0
chr2L	13187705	13187706	-	0
chr2L	13192978	13192979	+	0
chr2L	13196725	13196748	+	0
chr2L	13197921	13197942	-	0
chr2L	13210683	13210687	+	0
chr2L	13224270	13224278	+	0
chr2L	13225277	13225279	-	0
chr2L	13271620	13271621	+	0
chr2L	13296371	13296372	+	0
chr2L	13297978	13297979	+	0
chr2L	13366457	13366458	+	0
chr2L	13369185	13369202	+	0
